index	image	caption
19139	308487515_7852928f90.jpg	a bird eating 
26168	2230067846_74046b89d3.jpg	child stretch outside 
35969	3668259129_e073af1533.jpg	a boy skateboarding 
32502	391020801_aaaae1e42b.jpg	a man gesticulates 
21728	241345323_f53eb5eec4.jpg	a football game 
34955	3561639055_5ac66ae92f.jpg	a bicyclist doe maneuver
27658	3587941206_36769c3f1d.jpg	boy play baseball 
23044	2521938802_853224f378.jpg	a man playing cricket
14516	2755362721_368cbde668.jpg	a greyhound racing 
1163	2303951441_3c8080907a.jpg	two black dog 
8923	3228069008_edb2961fc4.jpg	brown puppy biting pole
39945	123997871_6a9ca987b1.jpg	woman play lacrosse 
12283	3154641421_d1b9b8c24c.jpg	miami basketball player shooting
34178	3125041578_c1f2d73b6d.jpg	a person speed skating
20438	2537583012_4a358a6a8a.jpg	two boy rollerblading 
10367	3097776588_312932e438.jpg	two men wearing black
32122	2281075738_230892b241.jpg	two black dog running
12871	1897025969_0c41688fa6.jpg	two dog fight 
28929	3091921457_83eee69591.jpg	african kid stare throughwindow
20256	405534993_5158644f98.jpg	a rock climber 
35191	3406409018_03de95181e.jpg	a hockey game 
39587	3314517351_69d70e62bd.jpg	a boy surf 
20265	3323528927_7b21081271.jpg	a young boy jumping
32734	3335501468_628655d608.jpg	duck flapping wing 
39643	416992999_654a99a903.jpg	girl climbing rock wall
28913	95151149_5ca6747df6.jpg	snow covered peak 
25657	3442272060_f9155194c2.jpg	three black dog 
9346	3679341667_936769fd0c.jpg	two fighter kick boxing
37828	207584893_63e73c5c28.jpg	hang glider on beach
33876	3541474181_489f19fae7.jpg	a man snowboard 
38156	3510218982_318f738b76.jpg	a man practicing boxing
365	2665904080_8a3b9639d5.jpg	a brown dog nursing
12643	3502343542_f9b46688e5.jpg	people mountain climbing 
12780	3691622437_f13644273c.jpg	girl cartwheeling inside 
9499	3676432043_0ca418b861.jpg	a couple kiss 
15283	1263801010_5c74bf1715.jpg	view from the summit
30141	3616771728_2c16bf8d85.jpg	two jockey race horse
32114	3241965735_8742782a70.jpg	a skier in midair
15142	3447876218_4ccf42d7a0.jpg	snowboarding youth going downhill
32065	2709536455_2a6046e38a.jpg	snow dog howling 
27681	3673878924_506c9d767b.jpg	three girl dancing 
38080	2272491304_cb7c7ed16f.jpg	skiiers on snow cappedhills
20080	241346794_4319f8af67.jpg	a football game 
4161	3127614086_9f1d3cf73d.jpg	fast paced basketball action
9404	2665904080_8a3b9639d5.jpg	a dog breastfeeding 
22312	2613021139_4b0dc3d4c8.jpg	the girl swing 
37943	3658016590_f761e72dc3.jpg	a horse bucking wildly
28941	1772859261_236c09b861.jpg	a dog swim 
25263	1089181217_ee1167f7af.jpg	energetic brown dog running
3773	2757779501_c41c86a595.jpg	extreme rock wall climbing
38160	3557316485_574a5f7a89.jpg	a man skateboarding 
14929	485738889_c2a00876a6.jpg	two child smile underwater
27480	2968182121_b3b491df85.jpg	two greyhound race 
32573	3636796219_9916c0465a.jpg	teenager playing baseball 
15840	2680619645_ab6645218d.jpg	an aggressive dog 
39299	1509786421_f03158adfc.jpg	a boy point 
15888	3341782693_426bf7139b.jpg	a surfer surf 
20373	2866093652_aa717eb9ce.jpg	four woman rollerblade 
13046	2472896179_245e7d142f.jpg	man holding harness waterskiing
22548	2297471897_3419605c16.jpg	a dog playing ouside
15953	3681575323_433d007650.jpg	two child laugh 
4733	2894008505_a445ccaaff.jpg	woman running on sidewalk
37565	2909081008_9a7bfc599a.jpg	two people laugh 
28853	2990977776_1ec51c9281.jpg	a boy skateboarding 
4569	2579460386_94c489028d.jpg	a dog swimming 
38241	3092370204_029b6bc10a.jpg	several woman dancing 
15596	241345721_3f3724a7fc.jpg	men playing football 
20352	224273695_0b517bd0eb.jpg	a snowy peak 
39727	3030824089_e5a840265e.jpg	a dog run 
3489	3636796219_9916c0465a.jpg	men play baseball 
35455	3138562460_44227a35cf.jpg	a horse run 
1958	3361990489_92244a58ef.jpg	girl posing on tree
33835	3042380610_c5ea61eef8.jpg	people examine equipment 
27537	2939371251_f923569a72.jpg	men playing football 
3539	1771490732_0ab5f029ac.jpg	uniformed child playing soccer
28891	3262075846_5695021d84.jpg	men play rugby 
10512	1626754053_81126b67b6.jpg	dog jumping for frisbee
1961	1280320287_b2a4b9b7bd.jpg	two boy waterskiing 
7485	2654514044_a70a6e2c21.jpg	a brown dog running
19766	3724581378_41049da264.jpg	a man surfing 
25694	537390477_7dd3407f96.jpg	two dog wrestling 
27520	516761840_842dabc908.jpg	two girl playing 
30736	3228793611_8f260ea500.jpg	dog dig in sand
7695	3354489242_dd529ffa1f.jpg	people playing hockey 
24263	3597146852_3d000a5d5f.jpg	he is skateboarding 
5577	3523950181_414978964e.jpg	men play hockey 
859	3461437556_cc5e97f3ac.jpg	dog on grass 
29578	3493844822_c315a11275.jpg	a guy surfing 
5693	3349308309_92cff519f3.jpg	two girl on camel
34710	2407091303_931c918490.jpg	boy on playground equipment
38874	1355703632_5683a4b6fb.jpg	kid playing softball 
33311	1271960365_e54033f883.jpg	two black dog running
31570	3635177305_bfbe1fc348.jpg	child smiling with facepaintings
1524	3184891327_8785194e3c.jpg	girl play soccer 
32462	2607130765_97833d6ce1.jpg	little kid playing soccer
7205	2130986011_47cb05c8c9.jpg	a child sled 
26802	2049646140_d0de01e3c4.jpg	a child doing gymnastics
26457	2102030040_2e8f4738f7.jpg	a girl skiing 
23757	2428959030_bdffc2812e.jpg	boy skateboarding on ledge
2230	3373481779_511937e09d.jpg	two ice hockey player
9898	2777021428_0b2ac3e987.jpg	little boy on swing
13440	3690189273_927d42ff43.jpg	a woman jogger 
11496	2768248810_06d543c080.jpg	a man waterskis 
17278	240696675_7d05193aa0.jpg	dog running in field
29765	2439154641_bbf985aa57.jpg	a man jumping 
36777	189721896_1ffe76d89e.jpg	man scale rock 
10859	219730733_6a55382dd2.jpg	an amusement park 
3276	326456451_effadbbe49.jpg	a rottweiler running 
31541	3290105461_7590f23371.jpg	a man playing cricket
4447	2059616165_b7c99c1009.jpg	a black dog 
2101	2866696346_4dcccbd3a5.jpg	men riding skateboard 
18073	411216802_aead9e67e3.jpg	three dog affectionately playing
28192	3157622277_9f59b4f62f.jpg	a hockey fight 
38920	1515025681_999199cb79.jpg	bald man in sunglass
36461	2838125339_3dd314e315.jpg	dog climbing over wall
11284	3423249426_02bedf9260.jpg	woman are outside 
32268	3665179773_dd217416fc.jpg	two girl hugging 
34675	2808098783_c56b44befa.jpg	two blurry dog 
32431	2367318629_b60cf4c4b3.jpg	five girl dressed alike
1336	2473737724_355599a263.jpg	two girl karate fighting
10963	2346189044_546ed84aa9.jpg	a boy scream 
25166	2550011909_6b95f11330.jpg	people lighting sparkler 
13565	2894576909_99c85fd7a7.jpg	a person riverrafting 
21090	1463732807_0cdf4f22c7.jpg	boy posing for camera
18149	3681056426_fbd6c0c92c.jpg	a professional horse race
23691	2678612999_893ed671f8.jpg	boy playing soccer 
36752	95151149_5ca6747df6.jpg	a mountain landscape 
11253	2481598514_05a65d1f72.jpg	child on tricycle 
29606	3315726723_64c9b0a945.jpg	wrestler locked in competition
10947	3413973568_6630e5cdac.jpg	a water glider 
10129	3115354165_44dbeec6c1.jpg	a skateboarder ollies 
21085	3411022255_210eefc375.jpg	people crossing the street
40267	272940778_a184dbea42.jpg	two dog running 
1478	3409947123_a8d07edecf.jpg	booth at a carnival
10937	3453544202_3855ab34b6.jpg	a motorcyclist ride 
18312	3458379941_657182bb09.jpg	child experience new world
8636	2255342813_5b2ac6d633.jpg	extreme climbing over ocean
14352	2324979199_4193ef7537.jpg	two child hug 
26512	1095590286_c654f7e5a9.jpg	two dog running around
3640	3055716848_b253324afc.jpg	a skateboarder jump 
23411	3006926228_cf3c067b3e.jpg	man and woman cheering
2963	523692399_d2e261a302.jpg	a shirtless skateboarder 
17779	468102269_135938e209.jpg	two people kissing 
18603	241345864_138471c9ea.jpg	cheerleader taking a break
17794	3004359992_f6b3617706.jpg	five girl cheerleading 
28476	2792195540_af5fb95caa.jpg	people are skydiving 
37074	3251906388_c09d44340e.jpg	two poodle playing tugowar
10075	3051754615_3d6494c2ae.jpg	rower racing furiously 
33424	3368819708_0bfa0808f8.jpg	a snowboarder jumping 
18666	279230262_e541f9b670.jpg	woman running after dog
26865	3320356356_1497e53f80.jpg	man climbing a rock
23910	2921793132_ef19f1dd44.jpg	kid playing soccer 
28462	295433203_8185c13e08.jpg	two wet dog 
9846	3652572138_34d6b72999.jpg	a boy jump 
18657	2792195540_af5fb95caa.jpg	skydiver in formation 
26383	2714699748_c9270dd5aa.jpg	two dog wrestle 
18578	265223843_9ef21e1872.jpg	parachuter in midair 
39028	3208553539_2bf6c6d162.jpg	musician perform outdoors 
1433	775664534_3f6de7d413.jpg	three child running downhill
37033	265223847_636ba039c1.jpg	man parasail at night
7103	3366571152_20afb88ac1.jpg	a street side restaurant
36193	3109704348_c6416244ce.jpg	men play football 
12	2500826039_165e75b20c.jpg	a couple kiss 
34576	3601569729_bf4bf82768.jpg	a horse race 
34817	405253184_5f611f3880.jpg	animal in the snow
5617	3335885203_a3fe8e541f.jpg	child play football 
4374	3487419819_e3f89444ce.jpg	a dolphin above water
25239	3154293126_e52bd07524.jpg	a snowboarder in midair
36687	2040941056_7f5fd50794.jpg	two dog playing outdoors
29762	1428681303_04213524e3.jpg	child climbing statue 
2252	2525270674_4ab536e7ec.jpg	dog catching frisbee 
16915	1459250022_bf1eddad11.jpg	an orchestra performs 
11115	3720210639_18bb34e475.jpg	person doing bicycle jump
4305	3111208043_dbe8e87fa1.jpg	a man running track
3652	249394748_2e4acfbbb5.jpg	two white dog running
26426	3382303178_69b6d1bdd2.jpg	a guy skateboarding 
18493	543603259_ef26d9c72d.jpg	a lady waiting 
24239	3698607223_22fe09763a.jpg	skier are competing 
29509	3024022266_3528c16ed8.jpg	a boy surf 
36258	2431120202_b24fe2333a.jpg	little girl on ski
5673	2216695423_1362cb25f3.jpg	dog play with stick
4628	2832453252_a06f7826a8.jpg	kid play in water 
32282	505944126_f9a6ab8944.jpg	two dog playing outside 
30430	3426933951_2302a941d8.jpg	boy outside a building 
34633	3128164023_ebe8da4c32.jpg	dog chase each other 
38166	2394824046_51cec8e5e7.jpg	a buddist worship buddha 
34660	3216762979_813c45a8ec.jpg	a boy in a field
9500	3667908724_65c7d112f2.jpg	a girl dancing onstage 
21145	3079787482_0757e9d167.jpg	two young girl hug 
20214	3281611946_f42deed2e1.jpg	two men have fun drinking
15161	1999444757_1b92efb590.jpg	a lady show her sword
7153	2106772874_381824648b.jpg	two dog playing rough 
1940	3295024992_887a95c700.jpg	a person is skiing 
25442	405534993_5158644f98.jpg	two people rock climbing 
5518	1472230829_803818a383.jpg	rafting boat on river 
30454	229978782_3c690f5a0e.jpg	two men and a frisbee
7514	3351493005_6e5030f596.jpg	a snowboarder jump high 
3533	3053785363_50392f2c53.jpg	girl play field hockey 
587	3156406419_38fbd52007.jpg	a person skiing downhill 
9545	2647049174_0fb47cee2e.jpg	a toddler eats dirt 
38134	1808504612_3508f3c9bb.jpg	child climbing huge tree 
34578	783994497_4f6885454d.jpg	people get their slushies 
7506	2612608861_92beaa3d0b.jpg	two girl sitting on ground
21224	3266261886_36e1323d2f.jpg	two sumo wrestler wrestling 
27740	3125041578_c1f2d73b6d.jpg	speedskater skating a race 
20281	3275527950_41aca690a1.jpg	people standing in mud 
35203	3476381830_3751dd9339.jpg	a guy is skateboarding 
20290	3587092143_c63030ed6d.jpg	two men are kickboxing 
20294	2885111681_dc328ecfff.jpg	large woman carrying bag 
7528	2736508369_fd9ff0b42f.jpg	three men playing baseball 
20303	2709536455_2a6046e38a.jpg	three barking  howling dog
13817	3186556417_b2d6921a20.jpg	a boy surrounded by pigeon
20247	3587092143_c63030ed6d.jpg	two men kick boxing 
21243	1799271536_6e69c8f1dc.jpg	long necked dog jump on
7149	2619267133_53a5904ef4.jpg	boy riding a horse 
15098	3258472448_75cfab5e6f.jpg	a person on fire 
13847	252846811_7b250935a7.jpg	two yellow dog playfighting 
28431	2579460386_94c489028d.jpg	wet dog jumping in water
25083	2856456013_335297f587.jpg	three boy playing soccer 
7171	2330536645_2d36b516e1.jpg	kid play in the water
34847	3465791729_5bf9bd8635.jpg	two gondolier sitting in venice
25155	3717809376_f97611ab84.jpg	two child swinging on swing
28146	1387443857_602ab6f9bf.jpg	an old man sits 
25295	3494394662_3edfd4a34c.jpg	a man pose outdoors 
20914	2072574835_febf0c5fb9.jpg	dog in a race 
38549	339822505_be3ccbb71f.jpg	a performer wearing a h
20946	2939464283_fc1a834976.jpg	football player playing football 
30620	560278886_df4bd2e212.jpg	boy are playing soccer 
9850	3133044777_8cc930a4ec.jpg	a man sell fruit 
14133	3225998968_ef786d86e0.jpg	this person is skiing 
14593	3532412342_e0a004b404.jpg	child crouch in tire 
34981	1398606571_f543f7698a.jpg	girl with innertube in water
14613	3584930205_a3f58a4b7c.jpg	person doing a skateboard stunt
20601	3006095077_1992b677f8.jpg	two guy wearing jacket 
30625	3050976633_9c25cf6fa0.jpg	people outside playing soccer 
38361	3420278866_1d17c12713.jpg	andy roddick play tennis 
34776	522063319_33827f1627.jpg	two child dressed a pirate
9687	3514179514_cbc3371b92.jpg	two child are playing baseball
20619	3612825666_54f5a2bc06.jpg	some skateboarder on stair 
9738	2285152690_3fb93f65f1.jpg	there are three basketball player
4494	2330536645_2d36b516e1.jpg	six kid splash in water
28086	2393924525_1bf45ca217.jpg	a woman playing tennis 
14312	2399219552_bbba0a9a59.jpg	a boy play basketball 
20723	3036641436_d6594fc45f.jpg	three people on swing 
7281	2393971707_bce01ae754.jpg	people walk down step 
30602	3126752627_dc2d6674da.jpg	two men are playing basketball
27961	1606988704_fe330878a3.jpg	three child playing in hay
25238	3632572264_577703b384.jpg	two soccer team posing 
25225	3211029717_2affe6bbd5.jpg	several men holding flare 
32195	2735979477_eef7c680f9.jpg	two dog running on grass
28137	3640443200_b8066f37f6.jpg	groom posing with bridesmaid 
30609	1350811702_2ce7cfd0c5.jpg	people fishing over white fence
20659	2993167183_2bda95fa3d.jpg	two men play basketball 
30610	498794783_cc2ac62b47.jpg	girl blow bubble outdoors 
34916	3720210639_18bb34e475.jpg	boy in midair on bicycle
20559	401079494_562454c4d6.jpg	two black dog fight 
25181	3612485097_b706d950ed.jpg	two people play outdoors 
38606	2466495935_623b144183.jpg	young boy playing soccer 
3017	539493431_744eb1abaa.jpg	a man juggling fire 
773	401079494_562454c4d6.jpg	a black and gray dog
14805	2878578240_caf64c3b19.jpg	child playing in a fountain
32259	3185371756_ff4e9fa8a6.jpg	a person bending backwards 
30692	3247423890_163f00a2cb.jpg	a man juggling hackey sack
14848	3235542079_2fcf4951a1.jpg	a snowboarder in stripe 
32159	3601508034_5a3bfc905e.jpg	two men playing field hockey
14860	3177468217_56a9142e46.jpg	a collie jump a hurdle
30477	3263741906_6e4508d1c8.jpg	blonde dog running down road
9612	468911753_cc595f5da0.jpg	dog fetching huge stick 
4576	3616808182_fb4eaec778.jpg	extreme downhill mountain biking 
21091	341430859_4519802e8f.jpg	dog sits in snow 
14885	3691622437_f13644273c.jpg	girl are doing somersault 
4577	3222055946_45f7293bb2.jpg	basketball player in action 
35104	3618115051_41b5a7706c.jpg	a couple posing in wig
28360	3549673305_4dfd44e04a.jpg	man kiss girl on neck
30487	1296770308_3db2022f5a.jpg	dark nightclub with chair 
4407	418667611_b9995000f4.jpg	this man is surfing 
27909	3538021517_b930dc76fc.jpg	two child playing soccer 
34742	401079494_562454c4d6.jpg	two black poodle fighting 
2961	2169951750_495820a215.jpg	a dog run outside 
34738	3724150944_fc62e8d5e0.jpg	four boy playing soccer 
20526	369047365_35476becc9.jpg	dog training on the mountain
20520	3086523890_fd9394af8b.jpg	two dog play together 
38315	418357172_bdddf71d32.jpg	a dog in the beach
27868	3614595423_f9e0ab4fb0.jpg	child posing in a tree
25345	3549277110_24d4064ccd.jpg	two boy reading superhero book
9664	3532593368_be10432e92.jpg	people raise their hand 
30498	3286543624_7a327f79ae.jpg	a lady look surprised 
3631	3656906086_7034f69ab6.jpg	two dog wrestle outdoors 
14025	2993167183_2bda95fa3d.jpg	a miami basketball player 
38286	3467073304_aefe553c4d.jpg	a woman play volleyball 
1995	2217328285_b1d55c17ca.jpg	a jumping black dog 
9577	3425851292_de92a072ee.jpg	a man play tennis 
28374	3320756943_9d004f9824.jpg	people sit on bench 
6112	95728660_d47de66544.jpg	man riding bike on trail
9476	2130851544_d36f4f2ea6.jpg	a boy hold an icicle
26386	888425986_e4b6c12324.jpg	a person flipping upside down
26872	1778020185_1d44c04dae.jpg	two dog play together 
26870	3346040664_5b584e6133.jpg	the boy play basketball 
18563	3484365373_98d5304935.jpg	a tall girl hurdle 
18541	234241682_51d9fabb27.jpg	a soccer game at sunset
31666	2532262109_87429a2cae.jpg	girl in school uniform 
17207	2058124718_89822bc96e.jpg	two brown dog play 
36239	3335547029_74d620fa6c.jpg	a young woman is waterskiing
18515	3420469425_2980b4cd30.jpg	woman holding baby with priest
17218	2892992529_f3335d0a71.jpg	dog catching the frisbee 
17109	3015368588_ef0a06076d.jpg	two people playing baseball 
18511	3353400143_8b9543f7dc.jpg	a motorcyclist in yellow 
18485	2878272032_fda05ffac7.jpg	dog playing in a stream
8719	3428386573_670f5362f0.jpg	a man play tennis 
17258	2698614194_b4e6e11dff.jpg	five men play football 
31337	3497238310_2abde3965d.jpg	some young men playing basketball
8231	3069282021_e05e1829f3.jpg	dog racing around a track
36297	3339916063_63b960ed46.jpg	two child are playing soccer
36301	2517284816_9b8fd3c6b6.jpg	a crowd of child 
8233	2950393735_9969c4ec59.jpg	an bald elderly adult 
18448	232193739_ed5f348c7a.jpg	skateboarder in the air 
8695	317488612_70ac35493b.jpg	white dog running through snow
18507	2439031566_2e0c0d3550.jpg	a couple riding a bike
1234	2324779494_5e72d29171.jpg	a boy dressed for halloween
17016	429851331_b248ca01cd.jpg	dog running with toy 
8826	2346629210_8d6668d22d.jpg	an older man standing 
16605	3104400277_1524e4f758.jpg	two people on motorbike 
16608	3250076419_eb3de15063.jpg	three dog run together 
16663	3580741947_cc64a83648.jpg	business woman walk outside 
37203	3671262694_29fbeb9d95.jpg	a skateboarder doing maneuver 
31171	3546720729_38fff1bbd9.jpg	two men play instrument 
16726	412056525_191724b058.jpg	asian child eating together 
8066	2843695880_eeea6c67db.jpg	two people in water 
16776	2348924378_47e556d81a.jpg	a child play tball 
18888	3467219837_7d62213dec.jpg	five dog are racing 
18878	3269380710_9161b0bd00.jpg	man in blue shirt smoking
26971	3175712926_5a470d0886.jpg	a blue heron flying 
16847	3271252073_0a1b9525fc.jpg	the lady are talking 
16854	3211199368_ca78387f72.jpg	a dog wear jean 
37127	2913965136_2d00136697.jpg	three boy play soccer 
8860	3286045254_696c6b15bd.jpg	two basketball team compete 
18839	2069279767_fb32bfb2de.jpg	the men are climbing 
26311	2695962887_a1647c567b.jpg	dog pass through obstacle 
4926	1461329041_c623b06e5b.jpg	two woman riding tricycle 
16899	2591455200_2319651f2f.jpg	small girl in tunnel 
18809	3137061312_eb5fdcf3fd.jpg	a train is underground 
26330	2994107810_af56326389.jpg	two men play basketball 
1215	1763020597_d4cc8f0f8a.jpg	people sit against a wall
31239	3196100539_102fe877b3.jpg	a wrestler celebrating his victory
18442	3133044777_8cc930a4ec.jpg	a man sell fruit 
1154	2473689180_e9d8fd656a.jpg	a man jet boarding 
18437	2998861375_02817e0147.jpg	military personnel shoot rifle 
17325	2838085973_42b6e9b5b1.jpg	quarterback for university of florida
1480	2955985301_e4139bc772.jpg	a young woman laughing 
26691	3308488725_f91d9aba27.jpg	a small boy running track
18115	2588625139_fdf6610218.jpg	two child with hulahoops 
36477	3281580623_8c3ba0fdb2.jpg	three dog playfully wrestle 
5036	2095444126_201ff9f222.jpg	a dog shake off water
8552	3135504530_0f4130d8f8.jpg	two asian girl laughing together
26672	2562347802_c049a2ba88.jpg	two dog playing outside 
1377	3726025663_e7d35d23f6.jpg	bicycle in a race 
5047	2712352554_1cafd32812.jpg	skateboarder on a rail 
26542	2181117039_c4eea8036e.jpg	schoolchildren chase some pigeon 
18156	3480052428_c034b98a08.jpg	people under a tent 
26552	2121140070_a09644550b.jpg	kid play ultimate frisbee 
1451	544576742_283b65fa0d.jpg	woman go rock climbing 
31526	3006095077_1992b677f8.jpg	two men wearing hat 
36542	2540757246_5a849fbdcb.jpg	people stand and talk 
36559	3410215754_5d5caeffaf.jpg	boy at an amphitheater 
17997	2257798999_d9d1b9a45a.jpg	three dog play together 
8488	2286032269_8ba929709c.jpg	a boy is surfing 
26574	3607969989_68cc411493.jpg	a man on a skateboard
17848	3670075789_92ea9a183a.jpg	girl splashing in kiddie pool
17936	236095031_5cb17dc54a.jpg	a boy rock climb 
17914	482907079_22085ada04.jpg	a woman is rock climbing
17759	1417637704_572b4d6557.jpg	two child peek out 
1351	502783522_3656f27014.jpg	a black dog running 
36440	1989145280_3b54452188.jpg	a woman wearing sunglass 
17615	3225880532_c8d5d1d798.jpg	two men talk outdoors 
36363	3086810882_94036f4475.jpg	dog running across sand 
18364	3274691778_94bb57bba3.jpg	live band at underground cabana
4999	3083016677_5782bc337c.jpg	motorcyclist near the beach 
18340	3681575323_433d007650.jpg	child laugh and smile 
18327	2907244809_07ab2c6b6c.jpg	skateboarder sliding down a ramp
17434	3710971182_cb01c97d15.jpg	men play field hockey 
36387	2292406847_f366350600.jpg	man rowing a boat 
36849	1280147517_98767ca3b3.jpg	a waterskier performs trick 
3305	2833560457_24aedf3bef.jpg	a dog running on grass
1508	2510020918_b2ca0fb2aa.jpg	a boy in a tube
17479	3223224391_be50bf4f43.jpg	a grey shaggy dog running
36815	95151149_5ca6747df6.jpg	a snowy mountain range 
18277	3158680604_c1f99b3946.jpg	four people in a kitchen
17512	3320680380_b0d38b3b4a.jpg	man and child skiing 
17517	2902661518_1513be3ea6.jpg	the man is skateboarding 
5008	394563330_68b566368c.jpg	a chinese dragon at a
17527	2057160636_6e9cf3b5f0.jpg	person canoe in lake 
8329	2525232298_cf42d415ab.jpg	a man rock climb 
36797	3488087117_2719647989.jpg	the dog is running 
33120	308307853_5a51fbdecc.jpg	poodle playing on a beach
36426	1975531316_8b00eeaaf7.jpg	small brown dog on leash
26493	3353036763_4cbeba03b2.jpg	men stand on horse 
26509	3513362553_5fc5779e20.jpg	a baseball player punting 
18391	2618866067_07cbc83dc5.jpg	dog with white collar yawning
38035	3509575615_653cbf01fc.jpg	people supporting a cause 
27110	3432550415_e7b77232de.jpg	a boy standing on railing
3390	3119875880_22f9129a1c.jpg	a boy climb rock 
37870	455611732_d65bf3e976.jpg	the person is hiking 
25643	241347271_a39a5a0070.jpg	two football team compete 
32030	3188319076_71724fcc07.jpg	a dog above snow 
37865	3522025527_c10e6ebd26.jpg	a plane flying sideways 
37856	3473264983_67917a931f.jpg	some people playing paintball 
27563	2978024878_a45b282bf4.jpg	muzzled white dog running 
32025	275516348_cbccebc125.jpg	dog running on two leg
35454	3143159297_6f2f663ea6.jpg	adult man hold toddler 
37801	2477623312_58e8e8c8af.jpg	a young girl dancing 
4685	2465441099_a1761a1757.jpg	youngle people standing together 
5450	444845904_a4531c811a.jpg	he is rock climbing 
1838	2939197393_93dc64c4bb.jpg	dirt biker taking a corner
7696	2921793132_ef19f1dd44.jpg	young girl playing soccer 
565	3569284680_44fef444ef.jpg	two kid climb the stair
30914	3671933270_d124e9a1a4.jpg	a cyclist drink water 
15761	393810324_1c33760a95.jpg	two dog play together 
32014	3526018344_450c517a72.jpg	a group of dog playing
9243	3697379772_40d831392b.jpg	this guitarist is performing 
35556	1771490732_0ab5f029ac.jpg	three boy playing soccer 
35570	365274901_576b0f8241.jpg	dog running through snow 
19691	3067971348_69af5bb309.jpg	the city at night 
25791	369244499_752f0c1018.jpg	a man playing a piano
27532	3360994630_d4616c1b14.jpg	bird hovers above water 
37876	3725177385_62d5e13634.jpg	people admire classic car 
15503	382701159_f98c1988cd.jpg	a man fly fishing 
37881	3348785391_c243faf6bb.jpg	man falling off a tightrope
25466	3349309109_4024a09a17.jpg	two girl ride camel 
15237	2477623312_58e8e8c8af.jpg	closeup of little girl dancing
20167	2869009633_ea3cafd437.jpg	four girl play volleyball 
20136	247691240_3881777ab8.jpg	a man rock climbing 
5491	3330675488_8692476a4a.jpg	two kid riding on sled
37993	3372251830_baa3665928.jpg	a woman standing expressionless 
37987	3107463441_7c68606450.jpg	two people build together 
884	3640743904_d14eea0a0b.jpg	man walking four dog 
