	caption
200	Two constructions workers sit on a beam taking a break .
201	Two construction workers are sitting up on the side of a building .
202	Two construction workers sitting on an I-beam .
203	Two construction workers take a seat on a steel beam .
204	Two men take a break from construction .
205	The children are playing in the water .
206	Two boys , one with a yellow and orange ball , play in some water in front of a field .
207	Two boys play in a puddle .
208	Two children play with a balloon in mud on a sunny day .
209	Two kids are running and playing in some water .
210	A blond woman in a blue shirt appears to wait for a ride .
211	A blond woman is on the street hailing a taxi .
212	A woman is signaling is to traffic , as seen from behind .
213	A woman with blonde hair wearing a blue tube top is waving on the side of the street .
214	The woman in the blue dress is holding out her arm at oncoming traffic .
215	A little girl looking at a brochure on train rides
216	a young blond girl with a magizine in her hands
217	A young girl on a train reads a book about train rides .
218	A young girl sits on a seat and looks at a train pamphlet .
219	Child sitting down looking at train ride brochure
220	A brown dog is running after a black dog on a rocky shore .
221	A brown dog is running after the black dog .
222	Two dogs playing on a beach .
223	Two dogs run across stones near a body of water .
224	Two dogs run towards each other on a rocky area with water in the background .
225	A boy descends off the end of a high diving board .
226	A child jumps off a high diving board into the pool .
227	A kid jumps off the diving board and into the swimming pool below .
228	A little kid is jumping off a high dive at the pool .
229	The boy is jumping off a high diving board into the pool .
230	A guy stands by a window taking his overshirt off .
231	A man in a tank top stands next to a chrome door .
232	A man puts his shirt on near an elevator .
233	A man stands by an elevator with his head down .
234	The man is putting on his shirt near an elevator .
235	A light-colored dog runs on the beach .
236	A small yellow dog runs on a beach
237	A tan dog runs on a sandy beach .
238	A white dog is running down a rocky beach .
239	Light brown dog running along the beach .
240	A boy in his blue swim shorts at the beach .
241	A boy smiles for the camera at a beach .
242	A young boy in swimming trunks is walking with his arms outstretched on the beach .
243	Children playing on the beach .
244	The boy is playing on the shore of an ocean .
245	A hiker standing high on a bluff overlooking the mountains below .
246	a person on ski 's looks from hill over snow covered landscape
247	A skier is overlooking a snow-covered mountain .
248	A skier is overlooking the beautiful white snow covered landscape .
249	A skier pauses on a mountaintop .
250	A black and white dog is attempting to catch a yellow and purple object in a low cut yard .
251	A black and white dog jumps after a yellow toy .
252	a black and white dog jumps to get the Frisbee .
253	A black dog is jumping up to catch a purple and green toy .
254	A dog jumps to catch a toy .
255	A man in blue shorts is laying in the street .
256	A man in blue shorts lays down outside in a parking lot .
257	A man laying down in middle of street during heavy traffic .
258	A man lies on a mat in a parking lot between a brown SUV and a yellow pickup with an open door .
259	A shirtless man is laying down in the middle of a busy street .
260	A white and black dog and a brown dog in sandy terrain .
261	A woolly dog chases a Doberman on a beach .
262	One dog is chasing another one on the beach .
263	The two large dogs are running through sand .
264	Two large dogs chasing each other at the beach .
265	A black and white dog catches a toy in midair .
266	A dog and a tennis ball .
267	A dog is jumping to catch a object thrown at it ,
268	A dog leaps while chasing a tennis ball through a grassy field .
269	A multicolor dog jumping to catch a tennis ball in a grassy field .
270	A crowd watching air balloons at night .
271	A group of hot air balloons lit up at night .
272	People are watching hot air balloons in the park .
273	People watching hot air balloons .
274	Seven large balloons are lined up at nighttime near a crowd .
275	A child with a helmet on his head rides a bike .
276	A little boy rides a bike down a hill on a miniature dirt bike .
277	A young boy in a helmet rides a bike on the road .
278	The little boy rides his bicycle in a race .
279	The young boy pedals quickly at a BMX race .
280	A group of eight people are gathered around a table at night .
281	A group of people gathered around in the dark .
282	A group of people sit around a table outside on a porch at night .
283	A group of people sit outdoors together at night .
284	A group of people sitting at a table in a darkened room .
285	A man in a brown shirt and dark shorts plays on the beach with his two black dogs .
286	A man in shorts with two black dogs holds a ball throwing toy at the beach .
287	a man playing with two black dogs on the beach
288	A man with two dogs on a beach
289	Man at the beach with two dogs .
290	a boy cleans the bubbles off his face .
291	A boy covered in suds has his face wiped clean .
292	A boy is covered in bubbles .
293	A child covered in foam is climbing on a black inflatable ramp .
294	A person covered in soapy water is getting cleaned off .
295	A boy in blue shorts slides down a slide into a pool .
296	A boy in blue swimming trunks slides down a yellow slide into a wading pool with inflatable toys floating in the water .
297	A boy rides down a slide into a small backyard pool .
298	A boy sliding down a slide into a pool with colorful tubes .
299	A child is falling off a slide onto colored balloons floating on a pool of water .
300	A man in a wetsuit is throwing a baby wearing a wetsuit up into the air .
301	A man in a wetsuit is throwing a toddler up in the air and is ready to catch him .
302	A man in water throwing a little boy up in the air and waiting for him to come down so he can catch him .
303	The man is in the pool and throwing a small boy into the air .
304	While water droplets fly , a man throws a little boy up in the air .
305	A little boy sticks his tongue out for the camera . Another boy looks on .
306	Two boys make faces .
307	Two young boys are looking at the camera , one smiling , the other sticking his tongue out .
308	Two young boys look up at the camera as one sticks out his tongue .
309	two young boys making silly faces .
310	A blonde horse and a blonde girl in a black sweatshirt are staring at a fire in a barrel .
311	A girl and her horse stand by a fire .
312	A girl holding a horse 's lead behind a fire .
313	A man , and girl and two horses are near a contained fire .
314	Two people and two horses watching a fire .
315	A bulldog , a sheep dog , and a boxer standing in a yard .
316	A large brown dog is pushing a small Boston terrier with his face while anouther dog watches .
317	A large skinny dog stands near two smaller dogs int the dirt .
318	There are three dogs starring at a ball in the middle of them .
319	Three dogs of various sizes .
320	A lady and a man with no shirt sit on a dock .
321	A man and a woman are sitting on a dock together .
322	A man and a woman sitting on a dock .
323	A man and woman sitting on a deck next to a lake .
324	A shirtless man and a woman sitting on a dock .
325	A closeup of a white dog that is laying its head on its paws .
326	a large white dog lying on the floor .
327	A white dog has its head on the ground .
328	A white dog is resting its head on a tiled floor with its eyes open .
329	A white dog rests its head on the patio bricks .
330	a woman in a yellow shirt and green shorts is climbing an artificial red wall whilst wearing a safety harness .
331	A woman in blue shorts and a white shirt is indoor rock climbing .
332	The girl is climbing a rock wall .
333	The girl is in a harness , climbing rocks .
334	Woman climbing an artificial rock wall .
335	A boy is jumping on an inflatable ring and a girl is watching him
336	A boy jumping on a water jumphouse
337	A teenage boy is jumping on an inflatable slide .
338	A young boy jumping and a young girl seating in an inflatable pool .
339	Two young kids are playing in the water on an inflated toy .
340	A family playing on a tractor on a beautiful day
341	Children ride a tractor in a field .
342	Several children playing on a Polaris vehicle outdoors .
343	The children played on the four wheeler in the field .
344	The four kids are riding on an ATV in a field .
345	A woman in a red costume to the left of a man and woman standing together .
346	A woman wearing a red costume looks at two other people standing on a street .
347	A young woman in a red sequined costume and feather stands on the sidewalk .
348	The girl in the salmon colored bikini is standing next to two young people ; one is wearing a black outfit and the other is drinking pop .
349	Two young people are approached by a flamboyant young woman dressed in a red bikini and a red feathered headress .
350	Skiiers walking up the hill through a forest .
351	Two men are skiing in the snow in a wooded area .
352	Two people wearing yellow jackets cross-country skiing .
353	Two skiers are making their way through woodland .
354	Two skiers are sliding down a trail in the woods .
355	A lone skier is making their way up a mountain .
356	Skiiers at the top of a snow covered hill .
357	Two hikers climbing a snowy hill .
358	Two people are on a snow-covered mountain .
359	Two people climbing up a snowy mountain .
360	a brown dog running down a paved pathway
361	A brown dog running next to grass .
362	A dog is running down a road .
363	A light brown dog runs down a path happily .
364	Energetic brown dog running
365	A mother and children is fishing on a boardwalk at night .
366	A woman and three children stand on a deck with a fishing pole .
367	A woman stands with children on a boardwalk at night overlooking the sea .
368	Some people on a pier at night with one girl fishing off it .
369	Woman with three children fishing over boardwalk in the evening .
370	A woman dressed in a blue jacket and blue jeans rides a brown horse near a frozen lake and snow-covered mountain .
371	A woman in a blue jacket rides a brown pony near water .
372	A woman rides a horse near a frozen lake in the wintertime .
373	A young blond woman sitting atop a brown draft horse in the snowy mountains .
374	Woman n blue jacket sits on daft horse near a frozen lake .
375	Two draft horses pull a cart through the snow .
376	Two golden brown horses pull a sleigh driven by a woman in a blue coat .
377	Two horses are pulling a woman in a cart .
378	Two horses pull a carriage driven by a woman over snow covered ground .
379	Two horses pulling a sled steered by a smiling blond woman .
380	A person climbing down a sheer rock cliff using a rope
381	A person climbs a tall , flat mountain while holding onto a safety rope .
382	A person is climbing a rock while holding onto a white rope .
383	A person rappels down a steep incline .
384	A person wearing a red vest climbs up a steep rock .
385	People stand inside a rock dome .
386	Shaft of light in a cave shows three spelunkers
387	Spelunkers pose inside a rock cavern while bathed in sunlight from the surface .
388	three people sit in a cave .
389	Three rock climbers are posing on big rocks .
390	a group of backpackers lay on the dry ground .
391	A group of hikers are resting on the ground in front of some mountains .
392	People camp with the mountains in the background .
393	Several hikers rest with their gear in front of a mountain .
394	The group of hikers is resting in front of a mountain .
395	A woman in a blue dress stands with a chalk portrait of two children playing by a stream .
396	A woman standing in front of a chalk drawing
397	A woman stands next to a chalk drawing in front of a barn-like structure .
398	A woman stands outside near an elaborate chalk illustration .
399	A woman wearing a blue dress is drawing a picture of a boy and a girl on the sidewalk with sidewalk chalk .
400	A brown dog plays in a deep pile of snow .
401	A dog looking at the camera in snow .
402	a dog runs through the snow .
403	A tan dog stand in the snow and looks up .
404	The brown dog is out in the snow .
405	A boy jumping in a fountain .
406	a boy plays in the fountains .
407	A child plays in a fountain .
408	A little boy playing in the water .
409	A young boy is jumping through water being sprayed up from the ground .
410	A Corgi runs out of a tunnel .
411	A dog runs out of a tunnel on a course .
412	Dog running out of tunnel on obstacle course
413	The dog is running out of the tunnel on a dog obedience course .
414	The small brown and white dog is running out of a small tunnel .
415	A blond dog and a black and white dog run in a dirt field .
416	a dog chases another dog .
417	A yellow dog and a black and white dog are running in the dirt .
418	Two dogs are running in a field .
419	two dogs running around
420	A little girl in a blue swimsuit is walking along a wooden fence next to a sandy beach .
421	A little girl with arms outstretched is posing at the beach .
422	A young girl walks on a railing in front of the beach .
423	Little girl in blue swimsuit standing on a handrail near a beach .
424	The little girl in the blue bathing suit is posing at the beach .
425	A black and white dog drinking water from a water spray .
426	A black and white dog is being soaked with a jet of water in a blue paddling pool .
427	A dog sticking its face into the shower from a garden hose .
428	A small white dog gets sprayed by water
429	A white and black dog is jumping into a pool .
430	a boy smiles underwater .
431	A red-headed boy swimming underwater .
432	A small boy swimming underwater
433	A smiling boy swims underwater in a pool .
434	The boys smiles underwater at the pool .
435	A boy with a toy gun .
436	A little boy in orange shorts playing with a toy .
437	A young boy with his foot outstretched aims a toy at the camera in front of a fireplace .
438	A young child plays with his new light-up toy .
439	Boy with toy gun pointed at the camera .
440	A boy in yellow shorts is standing on top of a cliff .
441	A boy wearing blue and yellow walking on a cliff edge .
442	A little boy standing high in the air on a rock .
443	A young child is standing alone on some jagged rocks .
444	Child stands near edge of cliff .
445	A person on a snowmobile in mid jump .
446	A snowmobiler flies through the air .
447	A snowmobile rider flies through the air on his or her machine in front of tall pine trees .
448	Rider jumps snowmobile high in rural area .
449	The man is up in the air .
450	People are riding around on snowmobiles .
451	People pose with helmets and goggles on while riding snowmobiles .
452	Several people are taking a break while on a snowmobiling ride .
453	Three people and two snowmobiles .
454	Two helmeted men sit on yellow snowmobiles while another man stands behind watching .
455	Three people drive ATVs .
456	Three people on ATVs in a brown field turn their heads to look at the camera .
457	Three people on ATV 's outside .
458	three people on four wheel ATV 's in a field .
459	Three people ride their four wheelers through the field .
460	A four wheeler jumping in an empty field .
461	A man on a four wheeler is flying through the air .
462	A person is riding an orange ATV in a large empty field .
463	Man jumping with all terrain vehicle
464	Man on an ATV catching air !
465	A man jumps gin the air while riding an ATV
466	A man on a four-wheeler jumps near a small building .
467	An ATV is airborne over a field in front of a white structure .
468	A person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .
469	Man on four wheeler in the air .
470	A boy in s striped shirt is jumping in front of a water fountain .
471	A boy is jumping off the side of a running stone water fountain in front of a building .
472	A happy boy is jumping in front OD city fountain .
473	A little boy is jumping in front of a fountain .
474	A little boy is playfully jumping off the side of a fountain .
475	A boy carrying a soccer ball .
476	A boy walks with a ball tucked under his arm .
477	A boy walks with a soccer ball near a fence .
478	A boy wearing a white t-shirt walks on the grass and carries a soccer ball .
479	Small boy carries a soccer ball on a field .
480	A child painting a picture .
481	An artist paints clouds onto a canvas .
482	A young girl painting a picture .
483	A young girl with braids is painting with water colors on a white paper on the wall .
484	The child paints on a large paper with water colors .
485	A cyclist is riding a bicycle on a curved road up a hill .
486	A man in aerodynamic gear riding a bicycle down a road around a sharp curve .
487	A man on a mountain bike is pedaling up a hill .
488	Man bicycle up a road , while cows graze on a hill nearby .
489	The biker is riding around a curve in the road .
490	a black dog jumping to catch a rope toy
491	A black dog playing fetch with a ball of rope .
492	A black dog pounces to get a rope toy .
493	A black dog running after his rope toy .
494	A large black dog is playing in a grassy yard .
495	A little girl is holding a cine camera in front of her face .
496	A young girl is looking through an old fashioned video camera .
497	A young girl steadies her aim with a camera
498	Girl with rosy cheeks and lips holding black toy gun .
499	There is a kid with a gun .
500	A black and white Border Collie catches a Frisbee in front of an audience .
501	a brown and white dog catches a Frisbee in it mouth in front of a group of people .
502	A brown and white dug jumping up to catch a Frisbee while an audience watches .
503	A dog jumps to catch a Frisbee , while many people watch .
504	An agile dog catches a Frisbee while a crowd of onlookers watches closely .
505	A baby is sitting on and playing with smooth rocks .
506	A baby is stacking rocks on the beach .
507	A small boy is playing with rocks
508	A toddler sitting on a pile of rocks holding a rock at a beach .
509	Toddler sits on a pile of rocks .
510	A kid rock climbing against the backdrop of a green valley
511	A woman in a striped shirt climbs up a mountain .
512	A young man climbs a rocky hill .
513	The person has a striped shirt on and is holding on to a rope on a mountain .
514	The person in the striped shirt is mountain climbing .
515	A man climbing a rock wall
516	A man climbing the side of a cliff .
517	A man is rock climbing .
518	Man with red shoes , white shirt and grey pants climbing .
519	The young man with the white t-shirt and jeans is rappeling up the rock wall .
520	A climber wearing a blue helmet and headlamp is attached to a rope on the rock face .
521	A man climbs a rocky wall .
522	a rock climber climbs a large rock .
523	A woman in purple snakeskin pants climbs a rock .
524	Person with blue helmet and purple pants is rock climbing .
525	A child playing with a fountain at the beach .
526	A child plays with a fountain .
527	A girl looks at a fountain that sprays water .
528	A little girl playing in water on a frog sculpture .
529	The little girl is playing with a toy in a public fountain .
530	A black dog is jumping over a log along a beach .
531	A black dog runs along the beach and jumps over a wood barrior .
532	A dog is running on the beach .
533	a dog jumping over a small wall at a beach near the water .
534	An animal is running on the beach .
535	A black and white bird eating seeds out of someone 's hand
536	A black and white bird standing on a hand .
537	A small bird sits in a person 's hand and eats seeds .
538	Black and white bird standing on hand of someone holding sunflower seeds
539	The small bird is clinging to a finger of the hand holding the seeds .
540	A brown dog is running in the sand .
541	A brown dog playing in the sand .
542	A brown dog plays at the beach .
543	A dog is standing in the sand .
544	A dog running fast in the sand .
545	A little boy stands in the surf .
546	A small child wades through the water while being guided by another person .
547	A young boy laughs while splashing in the ocean .
548	a young boy wearing a colorful bathing suit splashing in the ocean
549	A young child splashing in water .
550	A little tan dog with large ears running through the grass .
551	A playful dog is running through the grass .
552	A small dogs ears stick up as it runs in the grass .
553	The small dog is running across the lawn .
554	this is a small beige dog running through a grassy field
555	A black and white dog is running through the field .
556	A black , brown and white dog running through a field .
557	A brown , black and white dog is running through a large field with its mouth open .
558	A dog running in a field .
559	A dog with its mouth open running through a field torwards the camera .
560	A girl in a pink swimsuit in a pool
561	A girl swimming in a pool .
562	A little girl in a pink bathing suit swimming in a pool .
563	A little girl swimming in a pool .
564	Smiling little girl swimming in outdoor pool .
565	A child is standing on her head .
566	A little girl standing on her head .
567	A small child doing a handstand on a bed .
568	A young girl does a handstand on a bed with blue sheets .
569	The girl is upside down on a bed
570	A guy stands in the sand with a snowboard behind him .
571	A man holds a surfboard on the beach .
572	a man holds his snowboard in the sand .
573	A man with his surfboard stands in the sand .
574	Man is standing on white sand and holding a snowboard .
575	People on ATVs and dirt bikes are traveling along a worn path in a field surrounded by trees .
576	Three people are riding around on ATV 's and motorcycles .
577	Three people on motorbikes follow a trail through dry grass .
578	Three people on two dirt-bikes and one four-wheeler are riding through brown grass .
579	Three people ride off-road bikes through a field surrounded by trees .
580	A baby in a white garment holds a flag with crescent moon and star .
581	A baby is holding a small black flag with a moon and a star on it .
582	A baby wearing a white gown waves a Muslim flag .
583	A little toddler dressed in white is smiling while a lady helps him wave a flag .
584	Baby in white outfit holding black and white flag .
585	A half naked man is sleeping on his chair outdoors .
586	An older man sits back and relaxes on a patio outside an adobe building where many bicycles are propped .
587	A shirtless man in a white cap relaxes in a deck chair , close to three parked bicycles .
588	Man relaxing in a folding chair on the street .
589	Topless old man wearing slippers , navy blue pants and a white hat while reclining in a chair outside .
590	A brown and white and a black and white dog hauling in a floating toy from the ocean .
591	Both dogs retrieve the play toy from the water .
592	Two dogs in the ocean playing with a toy
593	Two dogs run through the water with a rope in their mouths .
594	Two dogs tug at a chew toy in the surf .
595	There are three young people , one dark haired holding a bottled drink , one with head tilted back and finger in her mouth , and one with spiked hair .
596	The young people party in the streets .
597	Three girls make faces as one takes a drink while they stand in a busy street .
598	Three women on the street drinking and posing
599	Three young women pose for the camera at a parade .
600	A brown dog is running through neck-deep water carrying a tennis ball .
601	A brown dog splashes in the water while carrying a ball in its mouth .
602	A brown dog swims through water outdoors with a tennis ball in its mouth .
603	A red dog , holding a ball , splashes through vegetation filled water .
604	Brown dog with tennis ball in mouth , in water and bushes .
605	Two brown dogs are creating large splashes as they run in a river .
606	Two brown dogs in the water .
607	Two brown dogs running through water .
608	Two brown dogs runs through the water .
609	Two dogs splash through the water .
610	A black dog runs into the ocean next to a pile of seaweed .
611	A black lav runs into the water on the beach , with swimmers in the distance and sea kelp in the foreground .
612	A dog at the shore of an ocean , with seaweed in foreground .
613	A dog is running in the waves at the beach .
614	A pile of seaweed sits on the sand , behind it a big black dog is running in the water .
615	A young boy runs while wearing sandals .
616	Little boy in a striped shirt and brown shorts is running .
617	The little boy , in a short sleeved shirt and shorts , is running outside .
618	The little boy is wearing a black pinstripe shirt and walking on a deck .
619	Young boy running outside on the pavement .
620	A brown and white dog stands outside while it snows .
621	A dog is looking at something near the water .
622	A furry dog attempts to dry itself by shaking the water off its coat .
623	A white and brown dog shaking its self dry .
624	The large brown and white dog shakes off water .
625	Two men are sitting on the ground and going through their backpacks .
626	Two men sitting in front of a railing are looking at something .
627	Two men with backpacks placed in front of them sitting in front of a railing .
628	Two men with backpacks are sitting on cardboard along a railing .
629	Two older men with backpacks sit at a bus station .
630	A boy is jumping on a bed .
631	A boy jumped up from the green bed .
632	A boy jumps from one bed to another .
633	A small child is jumping on a bed .
634	The boy in blue shorts is bouncing on the bed .
635	A child leaping from bed to bed behind the back of a man .
636	A man is standing with his arms folded looking at something while the person behind him is jumping onto one of the two beds in the room .
637	a man wearing a yellow shirt standing in the middle of two beds that a boy is jumping on in the background
638	A young child jumping on the bed as a man looks the other way .
639	Man standing in the bedroom with little boy jumping into bed .
640	A snowboarder sits on a slope with skiers and boarders nearby .
641	A snowboarder takes a rest on the mountainside .
642	Snowboarders sitting in the snow while skiers take the hill .
643	The snowboarder is sitting down .
644	Two skiers stand , two sit on slopes .
645	A girl in green walks down a city street .
646	A small child in green clothing walks past a store opening and a woman in pink pants .
647	A small child walks down a sidewalk .
648	A young boy is walking in front of some stores
649	The child in the green one piece suit is walking past a store window .
650	A boy dressed in soccer attire and holding his shoes getting out of a car .
651	A boy in a red soccer strip is holding his boots in his hand whilst stepping out of a car .
652	A boy in glasses is wearing a red shirt .
