	image	caption
30	3081734118_6f2090215c.jpg	gold and white dog catching a tennis ball in it mouth 
31	146098876_0d99d7fb98.jpg	group of school child in blue school uniform 
32	632608471_a70461f123.jpg	young girl ballerina in white tutu on a stage 
33	3530342993_a4a1f0e516.jpg	a bike jump through the air 
34	2220185725_45d4fa68d9.jpg	two dog are running in the water while a man watch from the dock 
35	2757803246_8aa3499d26.jpg	a little boy run around while others look at a stage 
36	223299137_b0e81ac145.jpg	three people in a boat float on the water at sunset 
37	778885185_3f6905370b.jpg	large brown dog playing with a white soccer ball in the grass 
38	3097776588_312932e438.jpg	two men touch their head together and smile 
39	3163068926_d28ed3ef53.jpg	a man on an escalator carrying a red and white cup looking up 
40	3490736665_38710f4b91.jpg	a big dog stand on his hand leg a tennis ball are thrown his direction 
41	3051341320_1d0166e775.jpg	people are riding a blue roller coasterlike ride with wide seating mechanism 
42	3374054694_fa56f29267.jpg	a dog jump for the woman s treat 
43	2856524322_1d04452a21.jpg	a man on a bmx 
44	539761097_5c6c70425b.jpg	a little boy is petting a very large sleeping dog 
45	3241965735_8742782a70.jpg	a person jump up over the snow a their ski cross 
46	244571201_0339d8e8d1.jpg	several people and dog are in or near a large outdoor swimming pool 
47	2579899436_5086a33c7a.jpg	a boy in a party hat splash in the water 
48	95734038_2ab5783da7.jpg	a man ride a bicycle on a rocky path beside a lake in the mountain 
49	509778093_21236bb64d.jpg	a collie play with a white ball in a field of green grass 
50	3126752627_dc2d6674da.jpg	two men jump for the basketball 
51	279728508_6bd7281f3c.jpg	a boy jump into water while another watch 
52	3547524138_4157f660b0.jpg	a group of people play a game in the street  passing balloon to one another
53	2545192257_142fe9e2de.jpg	a black and white dog near a grey and white dog on beige carpet 
54	3565655045_8eb00b7423.jpg	a scuba diver emerges from the water and pull himself onto the rock 
55	241345323_f53eb5eec4.jpg	a play just beginning during a football game 
56	3147913471_322ea231d9.jpg	the florida basketball player is preparing to shoot the ball 
57	3621717946_d96f8a6012.jpg	people are playing water volleyball 
58	1989145280_3b54452188.jpg	a woman wearing sunglass on her head looking down 
59	140526326_da07305c1c.jpg	a rock climber pause to look out over the ocean 
60	3103264875_2a8d534abc.jpg	a dog run through the grass with it tongue hanging out 
61	503794526_603a7954d3.jpg	a child swing high with tree in the background 
62	2181117039_c4eea8036e.jpg	two child in school uniform chasing bird on a brick paved street 
63	530950375_eea665583f.jpg	a leatherclad man ride a bicycle down a street
64	485245061_5a5de43e20.jpg	a mountain hiker is digging steak into the thck snow 
65	3700322513_50f0d45bfa.jpg	a man on a bmx bike catch massive air while someone is taking a picture
66	3538686658_30afc75f02.jpg	a person in a biking suit ride a bike down a hill 
67	3025334206_76888792e5.jpg	two dog with tree in the background 
68	241345981_1ef4f8109c.jpg	oklahoma university s sooner football team playing against a rival 
69	985067019_705fe4a4cc.jpg	a young boy sliding down an inflatable  is looking off camera 
70	2247889670_413db8094b.jpg	a man and his dog walk on the ice of a frozen pond 
71	248174959_2522871152.jpg	a girl sits on the side of a large mountain with one leg hanging off 
72	2955099064_1815b00825.jpg	a group of men struggle to catch the ball in the air 
73	656260720_a7db4ce48b.jpg	a young girl is wearing a blue patterned swimsuit  a black and yellow swim cap and ha blue swim goggles on her head 
74	3217187564_0ffd89dec1.jpg	a number eight racing dog is beating a number four racing dog slightly in a race 
75	1781227288_6811e734be.jpg	a man in yellow stand in a garbage strewn underpass 
76	3487261028_30791528ec.jpg	a dark brown dog jump behind a young girl in short 
77	2428094795_d3a8f46046.jpg	a child in a fuzzy blue hat on a tricycle 
78	3293945284_6a04e477a9.jpg	a group of people are standing in a field flying kite 
79	268654674_d29e00b3d0.jpg	two mother are pushing baby stroller a the dog run down 
80	1067675215_7336a694d6.jpg	a man in blue short is laying in the street 
81	3242718240_3358f2d6e6.jpg	a group of child dressed in costume pose for a picture 
82	3279524184_d5e2ffbaed.jpg	two black and white dog and one ha something blue in it mouth 
83	2637904605_fc355816fc.jpg	a black and white dog is running through the grass 
84	3526018344_450c517a72.jpg	a group of dog playing
85	3016759846_062663f8ab.jpg	a man in a red costume is talking to a girl in a snow white costume 
86	2259336826_0cb294e1f7.jpg	two men standing near a city street in the winter 
87	3673165148_67f217064f.jpg	a brown and white dog is standing in shallow water on a beach near a large rock outcrop 
88	2211593099_4a4f1c85d2.jpg	five boy smile for the picture 
89	2594902417_f65d8866a8.jpg	the two tan colored dog are in a field  and one is jumping in the air 
90	492802403_ba5246cfea.jpg	two tan dog playing together in a fenced yard 
91	3319388517_5609ae9805.jpg	two older female taking picture with their camera while another older female watch 
92	2231847779_1148d1c919.jpg	a baby with two finger up it nose  covered in chocolate pudding
93	3004291093_35d6fd8548.jpg	a man with dreadlock is plugging his ear to hear a phone call 
94	418616992_22090c6195.jpg	a dog enjoys a romp in the water with mountain and sand in the background 
95	3471066276_fb1e82e905.jpg	two black dog run through a field 
96	799486353_f665d7b0f0.jpg	a young girl holding a boogie board at the beach
97	2565237642_bdd46d7cef.jpg	a red furred dog run on an obstacle course 
98	2467821766_0510c9a2d1.jpg	a group of people are backpacking through the wood and snow 
99	1229756013_94663527d7.jpg	a brown dog jumping into the air to catch a ball 
100	3487261028_30791528ec.jpg	a dog with white paw jumping up onto a girl wearing a blue shirt and yellow short 
101	3412822878_5d961492e5.jpg	a boy skateboard down the railing of some graffiti stair
102	3220009216_10f088185e.jpg	a woman holding a baby hanging from a branch and a small child hanging on that same branch 
103	3374759363_d6f7a0df41.jpg	a man sits in a chair smoking a cigarette 
104	2561334141_0aacefa5e7.jpg	a man playing with a ball toy with his brown dog 
105	1396064003_3fd949c9dd.jpg	an upside down man doing a flip on a waterski board
106	2127207912_9298824e66.jpg	two people wearing backpack and a woman in red short are standing on some large rock formation 
107	2363006088_b3e3aa5c0b.jpg	a young boy run after some chicken 
108	2792212974_23b1ef05fa.jpg	a woman swinging her head out of the water
109	3365348059_9773165302.jpg	a man muscular man wearing an orange shirt is being kissed on the cheek by a blond woman wearing a black shirt 
110	3222055946_45f7293bb2.jpg	the basketball player in white is dribbling the ball towards the player in black 
111	3463268965_f22884fc69.jpg	men in uniform run along a track 
112	1258913059_07c613f7ff.jpg	three people sit at an outdoor table in front of a building painted like the union jack 
113	3126752627_dc2d6674da.jpg	a basketball player try to block another 
114	2865703567_52de2444f2.jpg	a man jump off of one rooftop onto another 
115	1507563902_6ec8d5d822.jpg	an upsidedown child above a trampoline 
116	3616808182_fb4eaec778.jpg	a biker in protective gear is riding through a countryside with cliff 
117	205682549_713aa6cd88.jpg	a hiker standing on a bluff high in the mountain 
118	1026685415_0431cbf574.jpg	a black dog carrying something through the grass 
119	2415265825_fbfe0c8556.jpg	large furry dog walking in the sand near large rock 
120	2708634088_a4686be24c.jpg	two large dog bound through a field 
121	753578547_912d2b4048.jpg	a small dog trying to catch a red ball outside
122	930748509_8ca5cf5c24.jpg	a young man sitting and petting his dog
123	3435653630_3b6cca2c40.jpg	a basketball team of 8 girl is doing a hand huddle 
124	2647394564_4843800cff.jpg	a small boy leap from one bed to another 
125	3307077951_dd31f1971c.jpg	a black and white dog is running over grass 
126	3047264346_e24601bfbf.jpg	two individual dressed up like animal are posing for the camera 
127	2707835735_6537b27e8f.jpg	some people are sitting and others are standing next to a false wall in an art gallery 
128	917574521_74fab68514.jpg	two twin girl playing with a toy in the driveway
129	2752084369_52e7867da7.jpg	a little girl in a red dress is carrying shopping bag 
130	3067971348_69af5bb309.jpg	a girl is riding a bike and everyone is rushing by her in the city 
131	241347460_81d5d62bf6.jpg	a football player kick the ball 
132	2924908529_0ecb3cdbaa.jpg	woman is small top and skirt pose for the camera 
133	3069282021_e05e1829f3.jpg	five dog are on a track racing each other 
134	2823075967_be4c350e9e.jpg	a black and white dog is playing with a tan dog 
135	541046380_513e295384.jpg	two young girl play together in a mall 
136	118309463_a532b75be9.jpg	child sporting their florida dolphin cap 
137	3397220683_4aca010f86.jpg	a golden retreiver standing outside in the snow with a person standing with ski and pole 
138	3496028495_431cfdc042.jpg	there is a brown dog swimming outside with a tennis ball in it mouth 
139	3004359992_f6b3617706.jpg	five girl cheerleading 
140	2768248810_06d543c080.jpg	a wakeboarder is leaping into the air whilst holding onto a pink rope 
141	2188192752_09d9fc5431.jpg	a boy run while another family is standing by 
142	3165826902_6bf9c4bdb2.jpg	a boy is skating along a ledge in an indoor skate center 
143	3052196390_c59dd24ca8.jpg	a group of child playing in a water fountain 
144	3372022051_132b8e6233.jpg	a teenage boy doe trick on his bicycle 
145	1536774449_e16b1b6382.jpg	a crowd of people are gathered with a sky scene in the background 
146	3366105287_49a4bf71c6.jpg	a boy on a black skateboard going down a ramp with a white building behind him
147	3713922357_e0a013fb97.jpg	the guy in red on a dirt bike is getting photographed 
148	958326692_6210150354.jpg	picture of a campsite with a big green tent 
149	3291255271_a185eba408.jpg	a boy lean on a baseball bat and hold out one arm outstreached 
150	3636543173_15f56515e5.jpg	the man wearing the brown jacket is holding a cigarette and the man behind him is holding a can of beer 
151	283428775_a3665bee7c.jpg	the black dog catch a toy in it mouth while running in the field 
152	2084157130_f288e492e4.jpg	a black and white dog run beside a brown dog in a green field 
153	269630255_c3ec75c792.jpg	a brown dog is running across the grass with a stick in it mouth 
154	2657663775_bc98bf67ac.jpg	a lone person wearing a purple tank top running on the shore at the beach
155	1620397000_3883e3ecd3.jpg	a black and white spotted dog is jumping over the small stream of water 
156	297724467_e8918a6f90.jpg	a dog shaking off water after playing in the water with a frisbee 
157	649596742_5ba84ce946.jpg	a large black and white dog is licking a smaller white and black dog who is growling 
158	2061397486_53a61e17c5.jpg	dog with a red cape running on a dirt road 
159	448658518_eec0b648a6.jpg	a large man dressed in black on a street corner by a red brick building 
160	1526181215_c1a94325ae.jpg	small dog jumping into water 
161	2321865325_79b0954a5d.jpg	a black and white puppy with ear straight up is running 
162	2766726291_b83eb5d315.jpg	young boy blow into a hose while sitting on the deck 
163	811662356_f9a632b63c.jpg	a small child touch a wooden fence 
164	2946016853_ceca4f5a07.jpg	a husky dog running through a yellow tunnel at an obstacle course 
165	1643915227_9f48068772.jpg	a group of people are walking down the sidewalk of a big city 
166	2727051596_be65bfb3d3.jpg	two little boy playing a game  one with his mouth wide open 
167	859620561_de417cac1e.jpg	black dog with collar jumping up with a stick in his mouth
168	2181846120_3744ca3942.jpg	a dog sits with it paw on a laptop computer 
169	2938072630_d641b63e4d.jpg	an old asian woman is sitting in front of a subway train and passenger are walking by her 
170	2130986011_47cb05c8c9.jpg	a child in orange pose in the snow riding a blue sled 
171	2797511323_bf20acab45.jpg	the dog is holding a ball in his mouth 
172	3589367895_5d3729e3ea.jpg	a man dressed a an indian  speaking into a microphone
173	451081733_40218cec31.jpg	the shirtless man used his camera while sitting on the rocky beach 
174	3474985112_24ef46e82d.jpg	the man in the blue helmet is on a bike 
175	3587009091_37188fd07e.jpg	three duck and a dog swim in a lake 
176	2729655904_1dd01922fb.jpg	two boy play with two dog next to the ocean 
177	530454257_66d58b49ee.jpg	a young boy wearing army gear is picking up a rubber ducky in a market 
178	3425846980_912943b4f9.jpg	the tennis player get ready to hit the ball that is almost at him 
179	3015898903_70bebb8903.jpg	two woman in gothic makeup are posing next to a man in a leather jacket and red scarf 
180	894928353_002a3d5f06.jpg	three child stand and climb on a fence 
181	1797507760_384744fb34.jpg	four shirtless men are hiking up a canyon 
182	3476451861_5b9c9ce191.jpg	person is riding a bike with blue tire up a tree 
183	494221578_027f51cdf4.jpg	girl in pink coat is sliding down a red slide on her stomach 
184	3362871440_6c0f27c480.jpg	dog fetching a stick in the lake 
185	374176648_ba4b88c221.jpg	two people are hiking up a grassy hill 
186	2561849813_ff9caa52ac.jpg	the baby sits on the sand in the front of the scene while the ocean is in the distance 
187	95728664_06c43b90f1.jpg	two men rest near a mountain range 
188	2561849813_ff9caa52ac.jpg	the baby sits on the sandy beach 
189	1965278563_8279e408de.jpg	a big brown dog float in a canoe on the river at sunset 
190	566397227_a469e9e415.jpg	the child is walking through tall grass on a sunny day 
191	2783620390_02c166c733.jpg	a motorcycle racer is riding a black motorcycle 
192	2826030193_4278ccb833.jpg	a little kid climb a red mat on a festive carpet 
193	2837799692_2f1c50722a.jpg	a football player ha the number 25 
194	3639617775_149001232a.jpg	a bridal party pose for a picture 
195	503090187_8758ab5680.jpg	a man looking at a picture in his camera 
196	1096097967_ac305887b4.jpg	a dog sticking it face into the shower from a garden hose 
197	3584196366_a4b43d6644.jpg	a flock of bird flying over a shoreline 
198	3227423095_5049951eab.jpg	a boy on a bicycle doe a jump trick on his bike
199	2450453051_f1d4a78ab4.jpg	a man is throwing freesbies into the air and the border collie is catching them in the air 
200	1472230829_803818a383.jpg	seven rafter are paddling and riding the rapid in a green raft 
201	1388373425_3c72b56639.jpg	a woman with a backpack sitting outside a building with others 
202	2053441349_a98b5fc742.jpg	dog run through field of flower
203	2115620856_4fa5025ac6.jpg	a small town lie at the base of verdant mountain 
204	2294598473_40637b5c04.jpg	a white dog is leaping in the air with a green object in it mouth 
205	3254645823_a7c072481c.jpg	two snowboarder in yellow and green are jumping in the air 
206	2068960566_21e85ae0dc.jpg	a young sandy blonde boy is at a park swinging on the swing 
207	3507076266_8b17993fbb.jpg	the man is walking with a draft horse
208	3237760601_5334f3f3b5.jpg	a skier take to great height on a snowcovered mountain slope 
209	2854234756_8c0e472f51.jpg	a woman stand outside a store 
210	3597924257_d0da3c5fe6.jpg	a brown dog run through a field of grass spotted with yellow flower
211	2524084967_a5e011b73d.jpg	a male doing a bicycle trick in midair 
212	2752043092_f48ebfeaa2.jpg	a baby dressed in blue  with a watch 
213	3319388517_5609ae9805.jpg	two lady are taking picture and one is watching 
214	3415589320_71a5bf64cf.jpg	a brown and white dog wrestle with a gray dog 
215	2265096094_8cc34d669c.jpg	a donkey pulling a car with a man on it
216	260850192_fd03ea26f1.jpg	someone is crawling under a large rock 
217	460935487_75b2da7854.jpg	a dog follows another dog around the corner but look back 
218	416106657_cab2a107a5.jpg	a white dog run in the grass 
219	3490044563_8eb551ef59.jpg	girl in plaid shirt wear a mask over her face a she walk in public 
220	3264337159_e1680a35ba.jpg	a white dog leap through dried cattail coming through the snow 
221	2266061169_dfbf8f0595.jpg	man is lying down inside of a black structure outdoors 
222	3375549004_beee810e60.jpg	men walk in line carrying thing 
223	3421129418_088af794f7.jpg	a man in swimming trunk kicking a ball at the beach 
224	3014015906_fdba461f36.jpg	three people walking along a stream in a jungle 
225	3088677667_4a8befb70e.jpg	a group of people gather and some are wearing white mask over their mouth 
226	3417037373_67f7db2dd2.jpg	a group of child in costume  learning a dance from an instructor 
227	1143882946_1898d2eeb9.jpg	a woman in a helmet ride her bike behind a car 
228	3225037367_a71fa86319.jpg	a crowd of people in knit hat standing near a van 
229	297724467_e8918a6f90.jpg	wet dog shaking off water on beach
230	3400082864_9c737c1450.jpg	a tennis player getting ready to backhand the ball in a tennis match 
231	3549583146_3e8bb2f7e9.jpg	the boy with the red and blue helmet ride his bicycle 
232	3195147187_a073d59fa8.jpg	the black and tan dog is laying down with the smaller dog jump over his back 
233	2318721455_80c6644441.jpg	young boy jumping on to his bed 
234	3245504245_27931f5ec1.jpg	a woman helping a young blonde girl 
235	2293149170_38fb2257ea.jpg	child laying down in the midst of stuffed animal including mickey mouse and tigger
236	2458862292_466a920ee2.jpg	man in blue shirt stand outside the car 
237	2176874361_2b4149010b.jpg	the dog is running around the cow 
238	2963672852_c28043bb2c.jpg	a biker jump an obstacle 
239	2929272606_2a5923b38e.jpg	a little girl in a blue shirt is pointing at the water on the beach 
240	3067500667_0fce8f28d4.jpg	a cricket batsman ha been bowled out middle stump 
241	1561658940_a947f2446a.jpg	a young girl on a swing 
242	3739833689_a0038545bd.jpg	a little boy put a bat on his forehead and spin around 
243	2053441349_a98b5fc742.jpg	a large brown dog is running through a field of flower 
244	3399944164_ec24123945.jpg	two young people taking picture of themselves while laying atop each other
245	2844747252_64567cf14a.jpg	two dog play together and another run after in a field 
246	2480327661_fb69829f57.jpg	a small child in a karate uniform is punching 
247	3053415073_5b667230ed.jpg	a person on ski on a rail at night 
248	2456030728_d3d147e774.jpg	a little girl with a blue bow holding a plushie while picking her nose 
249	2866820467_ae699235a7.jpg	the person in red and black is laying on a bench under a black umbrella 
250	824123145_59243e504e.jpg	woman walking beneath a blue sky and powerlines 
251	2613209320_edf6a2b7e9.jpg	a wet dog walk out of the water 
252	3606846822_28c40b933a.jpg	a skateboard is sideways in the air 
253	1800601130_1c0f248d12.jpg	a red dog jump to catch a tennis ball in the dry tall grass 
254	1443807993_aebfb2784a.jpg	a girl going down a slide 
255	1394927474_0afdd82fc4.jpg	a man with a green star balloon standing to the side of the door of an ancient looking building
256	2724485630_7d2452df00.jpg	two woman wearing similar shirt walk to the left 
257	3484625231_5b1a1a07b8.jpg	two men during a football game
258	3518118675_5053b3f738.jpg	the man is going down stair on a unicycle 
259	270864951_1737ae5479.jpg	a redhaired woman is wearing a black beret adorned with the american flag 
260	2522809984_2e8a7df4fb.jpg	a black lab swim  with only it head above the water 
261	3553225222_f5ebe44af1.jpg	a young child dressed in a graduation gown is throwing a graduation cap in the air 
262	2921578694_a46ae0d313.jpg	a man sailing  tilting it on the ocean 
263	2553619107_d382a820f9.jpg	a kayaker tumble over 
264	3336759846_5220e27deb.jpg	a woman in short and a white top is taking a picture with a digital camera a a young man watch 
265	230016181_0c52b95304.jpg	woman and dog in rowboat on the water 
266	1115565519_d976d4b1f1.jpg	a girl look at a fountain that spray water 
267	282116218_7fd7583d6e.jpg	a black dog running through a grassy yard carrying a large ball in it mouth 
268	3713177334_32f3245fd8.jpg	a mural is being painted on a wall 
269	3046259614_614394e024.jpg	a man in a long white robe and white head cap is pointing to a group of people sitting on a blanket 
270	947969010_f1ea572e89.jpg	a black dog with a brown muzzle next to a body of water  shaking off water with a stick in it mouth 
271	1468429623_f001988691.jpg	a black dog is jumping up  biting a man s padded arm 
272	3567061016_62768dcce1.jpg	a bird with it wing spread
273	118309463_a532b75be9.jpg	a small boy smile a he stand with others wearing the same black hat 
274	3610189629_f46de92ab3.jpg	a small dog chew on a blue shoe next to a large dog 
275	536495604_b22bbc905a.jpg	a lady in black clothing hold her baby in a red sling 
276	2319808437_bbbdc317c0.jpg	three people standing on the side of a snowy grassy hill
277	3484070900_3e76d7fd30.jpg	a man wearing a bright orange jacket make a jump on his snowboard 
278	3351667846_ac43118ae5.jpg	people in line for plate of rice 
279	1386964743_9e80d96b05.jpg	a kid standing in the middle of a dirt road
280	3176072448_b84c99cf7f.jpg	two woman  one looking down  the other drinking 
281	106490881_5a2dd9b7bd.jpg	the boy is playing on the shore of an ocean 
282	424379231_23f1ade134.jpg	a tan and white dog is walking on a beam 
283	3639704469_fe83e1c9b7.jpg	a man and a woman in wedding clothes look out toward the water 
284	1426014905_da60d72957.jpg	a man stand at the end of a pier reading a book against a blue sky 
285	381275595_b429fd1639.jpg	big hairy dog chew on a bone while lying on a furry toy 
286	3449170348_34dac4a380.jpg	a girl dance on a sidewalk 
287	3439560988_f001f96fc9.jpg	a dog running fast with ear flying 
288	2943384009_c8cf749181.jpg	a professional motor racer in motion 
289	525887861_4cc7a1beca.jpg	girl on pink skateboard wearing black jacket
290	247637795_fdf26a03cf.jpg	a woman and a man is standing beside water in front of building 
291	2988439935_7cea05bc48.jpg	a man in a red uniform run towards a soccer ball on a field 
292	2460126267_0deea8b645.jpg	a young boy wearing an orange uniform stand on the field near a colorful ball 
293	3479245321_6a5bc470f8.jpg	the people are sitting on the ground with white tent surrounding them 
294	104136873_5b5d41be75.jpg	three people hang out on top of a big hill 
295	251056963_c8b67f0107.jpg	a dog walk across a tall ladder 
296	3577309234_c952c2af86.jpg	a blue bird is flying through the tree 
297	2924908529_0ecb3cdbaa.jpg	a group of young woman in skimpy red and black uniform show off black marking on their leg 
298	97577988_65e2eae14a.jpg	a man mountain climbing up an icy mountain 
299	3239866450_3f8cfb0c83.jpg	i have no idea 
300	486917990_72bd4069af.jpg	a person wearing a white hat climb a rock 
301	3361882891_6e610ffdbb.jpg	a biker jump over a pile of dirt 
302	3008370541_ce29ce49f0.jpg	a black dog with a blue collar is jumping into the water 
303	458004873_f084c47a88.jpg	a man is sitting on a bench facing another man who is standing 
304	3154886184_ac842655b6.jpg	a young man doe a skateboard trick near step outside 
305	2114126343_a0f74ff63b.jpg	they are sitting on the edge of the pool by the ocean 
306	3500399969_f54ce5848f.jpg	seven people jumping into the clear blue water 
307	3214885227_2be09e7cfb.jpg	a man boating along a river near the shore 
308	3335692531_dd4a995f91.jpg	two black dog are tugging on a red toy that is in a brown dog s mouth 
309	2414390475_28a0107bb0.jpg	a guy with long brown curly hair wearing a white tshirt is looking into the camera with something in his mouth  a
310	3723903586_e98d3d8ec7.jpg	some greyhound dog are racing on a dirt track 
311	300922408_05a4f9938c.jpg	a black man and a large  golden dog are on the beach 
312	3590294974_4ef98f013e.jpg	a man wearing a white tank top is riding a red bike along a jump 
313	972381743_5677b420ab.jpg	the lady in the street is wearing a white and black costume and is carrying a white umbrella 
314	2894229082_ddc395f138.jpg	a young girl with a pink hat on with a yellow building in the background 
315	2868324804_5cc8030484.jpg	three little girl run on a soccer field 
316	2479652566_8f9fac8af5.jpg	a little girl play with a faucet 
317	3109688427_d2e702456c.jpg	a man and two girl look at something in the wood 
318	2280525192_81911f2b00.jpg	black and brown dog with red harness in high grass 
319	514905846_b54d13946a.jpg	a young boy in dress clothes and a tie is jumping in the air 
320	2597737483_6518a230e4.jpg	a boy wearing a tshirt with the american flag  go down a slide with his arm flung out 
321	2768248810_06d543c080.jpg	a wakeboarder is doing a jumping trick in the water 
322	3666169738_a8c74cf745.jpg	a tiny baby in swim trunk and a blue hat 
323	214543992_ce6c0d9f9b.jpg	a black and white dog jump up a a ball is thrown over his head 
324	430803349_a66c91f64e.jpg	a brown dog holding a buoy in it mouth in the water
325	2806710650_e201acd913.jpg	one person with a pink and black striped shirt and white short walking up a hill 
326	3681056426_fbd6c0c92c.jpg	three horse and their jockey compete in a race 
327	2987328689_96a2d814f1.jpg	a boy wearing jean  standing on rock in a river and throwing a stone 
328	3596428453_8cfdec4869.jpg	a man jog in a long distant race in a robot costume 
329	2100816230_ff866fb352.jpg	a skier catch air over the snow 
330	3119887967_271a097464.jpg	the man in the black hat stand behind the man who is pointing his finger 
331	3716277216_c04002be81.jpg	three woman are dressed in african clothes  and two of them are putting on makeup 
332	530661899_94655d7d0e.jpg	two people backlit with light sky 
333	2664102751_d5a737a566.jpg	a man eye the ground a he come in for a landing from parasailing 
334	516648762_0cff84ea97.jpg	a bug sits on a girl finger while she look shocked 
335	3265964840_5374ed9c53.jpg	a snowboarder fly through the air on a red snowboard in front of a snowy landscape 
336	3587781729_bd21ce7b11.jpg	this picture show a blondhaired boy and brownhaired boy smiling while swinging on a tire swing 
337	2443380641_7b38d18f5b.jpg	a young man wearing a yellow shirt and baseball helemt swinging a bat
338	3232470286_903a61ea16.jpg	a soccer player try to kick the ball in the goal 
339	430173345_86388d8822.jpg	a brown dog possessively grab a purple frisbee in a field 
340	2381102729_12fc4d4c76.jpg	a tan dog jump across some water while another dog watch 
341	241345522_c3c266a02a.jpg	an american footballer in a white and purple strip is making a run with the ball 
342	336551609_1385ab139e.jpg	a lone hiker trek through deep snow near rocky peak 
343	3323514651_3efdbd63ed.jpg	two male basketball player are fighting over a basketball 
344	146100443_906d87faa2.jpg	a young girl with her face painted stand next to some other child 
345	2691966747_cfa154982b.jpg	the small white dog is coming out of a blue tunnel 
346	269630255_c3ec75c792.jpg	a dog with it mouth open is walking on a path on a garden which is next to a lake or a stream 
347	3343311201_eeb1a39def.jpg	a woman wearing overall standing at an easel painting a picture 
348	58363928_6f7074608c.jpg	hiker in blue shirt and red short stand on hill near mountain 
349	757046028_ff5999f91b.jpg	the man with the big drum is marching next to a boy with a small drum 
350	3335692531_dd4a995f91.jpg	brown dog and two black dog have threeway tug on red object  outdoors 
351	3347500603_13670ee6bf.jpg	two men walk together outdoors carrying red bag from a store 
352	3436074878_21515a6706.jpg	dog nudge owner while out for a stoll in the grass 
353	2553188198_da1123a723.jpg	a black dog cross a puddle of water with a ball in it mouth while a brown dog look the other way 
354	2888658480_e922a3dec2.jpg	two people jump off the rock and into the greenish water below 
355	2559114800_17310f3015.jpg	three dog racing madly around a racetrack 
356	2805101709_1c8916f63a.jpg	a girl playing on a playground
357	3335547029_74d620fa6c.jpg	a woman  in a blue and black wetsuit  is water boarding 
358	2823575468_15f6c345fc.jpg	boy wearing swim trunk holding goggles and running
359	179009558_69be522c63.jpg	a black and white dog lie on the ground next to a little girl on a red bicycle in the wood 
360	2797149878_bb8e27ecf9.jpg	a young male holding a fishing pole 
361	2259203920_6b93b721ce.jpg	a terrier chasing a red ball 
362	3134341610_3c55e373a7.jpg	santa and a woman drink wine next to the christmas tree while wearing joke disguise glass 
363	3638992163_a085cc0c24.jpg	the collie dog is leaping through a red ring 
364	3485816074_363cab4bff.jpg	a rugby player in a black and yellow uniform run down the field while number six on the other team try to tackle him 
365	3377344932_6dfce93248.jpg	a dog is running onto the top of a blue slide 
366	3435653630_3b6cca2c40.jpg	basketball player huddle 
367	425518464_a18b87c563.jpg	a person wearing a white hooded sweatshirt covered with a blanket sitting on a bench reading
368	3631136463_53ff624b82.jpg	two dog share a toy in a field of vegetation 
369	2724485630_7d2452df00.jpg	two blond haired woman wear matching clothing and love beer 
370	2192475933_d779bf42eb.jpg	a boy is wearing a wetsuit on a crowded beach 
371	2039457436_fc30f5e1ce.jpg	a woman climbing a barbed wire fence 
