	caption
152	a black and white dog run beside a brown dog in a green field 
153	a brown dog is running across the grass with a stick in it mouth 
154	a lone person wearing a purple tank top running on the shore at the beach
155	a black and white spotted dog is jumping over the small stream of water 
156	a dog shaking off water after playing in the water with a frisbee 
157	a large black and white dog is licking a smaller white and black dog who is growling 
158	dog with a red cape running on a dirt road 
159	a large man dressed in black on a street corner by a red brick building 
160	small dog jumping into water 
161	a black and white puppy with ear straight up is running 
162	young boy blow into a hose while sitting on the deck 
163	a small child touch a wooden fence 
164	a husky dog running through a yellow tunnel at an obstacle course 
165	a group of people are walking down the sidewalk of a big city 
166	two little boy playing a game  one with his mouth wide open 
167	black dog with collar jumping up with a stick in his mouth
168	a dog sits with it paw on a laptop computer 
169	an old asian woman is sitting in front of a subway train and passenger are walking by her 
170	a child in orange pose in the snow riding a blue sled 
171	the dog is holding a ball in his mouth 
172	a man dressed a an indian  speaking into a microphone
173	the shirtless man used his camera while sitting on the rocky beach 
174	the man in the blue helmet is on a bike 
175	three duck and a dog swim in a lake 
176	two boy play with two dog next to the ocean 
177	a young boy wearing army gear is picking up a rubber ducky in a market 
178	the tennis player get ready to hit the ball that is almost at him 
179	two woman in gothic makeup are posing next to a man in a leather jacket and red scarf 
180	three child stand and climb on a fence 
181	four shirtless men are hiking up a canyon 
182	person is riding a bike with blue tire up a tree 
183	girl in pink coat is sliding down a red slide on her stomach 
184	dog fetching a stick in the lake 
185	two people are hiking up a grassy hill 
186	the baby sits on the sand in the front of the scene while the ocean is in the distance 
187	two men rest near a mountain range 
188	the baby sits on the sandy beach 
189	a big brown dog float in a canoe on the river at sunset 
190	the child is walking through tall grass on a sunny day 
191	a motorcycle racer is riding a black motorcycle 
192	a little kid climb a red mat on a festive carpet 
193	a football player ha the number 25 
194	a bridal party pose for a picture 
195	a man looking at a picture in his camera 
196	a dog sticking it face into the shower from a garden hose 
197	a flock of bird flying over a shoreline 
198	a boy on a bicycle doe a jump trick on his bike
199	a man is throwing freesbies into the air and the border collie is catching them in the air 
200	seven rafter are paddling and riding the rapid in a green raft 
201	a woman with a backpack sitting outside a building with others 
202	dog run through field of flower
203	a small town lie at the base of verdant mountain 
204	a white dog is leaping in the air with a green object in it mouth 
205	two snowboarder in yellow and green are jumping in the air 
206	a young sandy blonde boy is at a park swinging on the swing 
207	the man is walking with a draft horse
208	a skier take to great height on a snowcovered mountain slope 
209	a woman stand outside a store 
210	a brown dog run through a field of grass spotted with yellow flower
211	a male doing a bicycle trick in midair 
212	a baby dressed in blue  with a watch 
213	two lady are taking picture and one is watching 
214	a brown and white dog wrestle with a gray dog 
215	a donkey pulling a car with a man on it
216	someone is crawling under a large rock 
217	a dog follows another dog around the corner but look back 
218	a white dog run in the grass 
219	girl in plaid shirt wear a mask over her face a she walk in public 
220	a white dog leap through dried cattail coming through the snow 
221	man is lying down inside of a black structure outdoors 
222	men walk in line carrying thing 
223	a man in swimming trunk kicking a ball at the beach 
224	three people walking along a stream in a jungle 
225	a group of people gather and some are wearing white mask over their mouth 
226	a group of child in costume  learning a dance from an instructor 
227	a woman in a helmet ride her bike behind a car 
228	a crowd of people in knit hat standing near a van 
229	wet dog shaking off water on beach
230	a tennis player getting ready to backhand the ball in a tennis match 
231	the boy with the red and blue helmet ride his bicycle 
232	the black and tan dog is laying down with the smaller dog jump over his back 
233	young boy jumping on to his bed 
234	a woman helping a young blonde girl 
235	child laying down in the midst of stuffed animal including mickey mouse and tigger
236	man in blue shirt stand outside the car 
237	the dog is running around the cow 
238	a biker jump an obstacle 
239	a little girl in a blue shirt is pointing at the water on the beach 
240	a cricket batsman ha been bowled out middle stump 
241	a young girl on a swing 
242	a little boy put a bat on his forehead and spin around 
243	a large brown dog is running through a field of flower 
244	two young people taking picture of themselves while laying atop each other
245	two dog play together and another run after in a field 
246	a small child in a karate uniform is punching 
247	a person on ski on a rail at night 
248	a little girl with a blue bow holding a plushie while picking her nose 
249	the person in red and black is laying on a bench under a black umbrella 
250	woman walking beneath a blue sky and powerlines 
251	a wet dog walk out of the water 
252	a skateboard is sideways in the air 
253	a red dog jump to catch a tennis ball in the dry tall grass 
254	a girl going down a slide 
255	a man with a green star balloon standing to the side of the door of an ancient looking building
256	two woman wearing similar shirt walk to the left 
257	two men during a football game
258	the man is going down stair on a unicycle 
259	a redhaired woman is wearing a black beret adorned with the american flag 
260	a black lab swim  with only it head above the water 
261	a young child dressed in a graduation gown is throwing a graduation cap in the air 
262	a man sailing  tilting it on the ocean 
263	a kayaker tumble over 
264	a woman in short and a white top is taking a picture with a digital camera a a young man watch 
265	woman and dog in rowboat on the water 
266	a girl look at a fountain that spray water 
267	a black dog running through a grassy yard carrying a large ball in it mouth 
268	a mural is being painted on a wall 
269	a man in a long white robe and white head cap is pointing to a group of people sitting on a blanket 
270	a black dog with a brown muzzle next to a body of water  shaking off water with a stick in it mouth 
271	a black dog is jumping up  biting a man s padded arm 
272	a bird with it wing spread
273	a small boy smile a he stand with others wearing the same black hat 
274	a small dog chew on a blue shoe next to a large dog 
275	a lady in black clothing hold her baby in a red sling 
276	three people standing on the side of a snowy grassy hill
277	a man wearing a bright orange jacket make a jump on his snowboard 
278	people in line for plate of rice 
279	a kid standing in the middle of a dirt road
280	two woman  one looking down  the other drinking 
281	the boy is playing on the shore of an ocean 
282	a tan and white dog is walking on a beam 
283	a man and a woman in wedding clothes look out toward the water 
284	a man stand at the end of a pier reading a book against a blue sky 
285	big hairy dog chew on a bone while lying on a furry toy 
286	a girl dance on a sidewalk 
287	a dog running fast with ear flying 
288	a professional motor racer in motion 
289	girl on pink skateboard wearing black jacket
290	a woman and a man is standing beside water in front of building 
291	a man in a red uniform run towards a soccer ball on a field 
292	a young boy wearing an orange uniform stand on the field near a colorful ball 
293	the people are sitting on the ground with white tent surrounding them 
294	three people hang out on top of a big hill 
295	a dog walk across a tall ladder 
296	a blue bird is flying through the tree 
297	a group of young woman in skimpy red and black uniform show off black marking on their leg 
298	a man mountain climbing up an icy mountain 
299	i have no idea 
300	a person wearing a white hat climb a rock 
301	a biker jump over a pile of dirt 
302	a black dog with a blue collar is jumping into the water 
303	a man is sitting on a bench facing another man who is standing 
304	a young man doe a skateboard trick near step outside 
305	they are sitting on the edge of the pool by the ocean 
306	seven people jumping into the clear blue water 
307	a man boating along a river near the shore 
308	two black dog are tugging on a red toy that is in a brown dog s mouth 
309	a guy with long brown curly hair wearing a white tshirt is looking into the camera with something in his mouth  a
310	some greyhound dog are racing on a dirt track 
311	a black man and a large  golden dog are on the beach 
312	a man wearing a white tank top is riding a red bike along a jump 
313	the lady in the street is wearing a white and black costume and is carrying a white umbrella 
314	a young girl with a pink hat on with a yellow building in the background 
315	three little girl run on a soccer field 
316	a little girl play with a faucet 
317	a man and two girl look at something in the wood 
318	black and brown dog with red harness in high grass 
319	a young boy in dress clothes and a tie is jumping in the air 
320	a boy wearing a tshirt with the american flag  go down a slide with his arm flung out 
321	a wakeboarder is doing a jumping trick in the water 
322	a tiny baby in swim trunk and a blue hat 
323	a black and white dog jump up a a ball is thrown over his head 
324	a brown dog holding a buoy in it mouth in the water
325	one person with a pink and black striped shirt and white short walking up a hill 
326	three horse and their jockey compete in a race 
327	a boy wearing jean  standing on rock in a river and throwing a stone 
328	a man jog in a long distant race in a robot costume 
329	a skier catch air over the snow 
330	the man in the black hat stand behind the man who is pointing his finger 
331	three woman are dressed in african clothes  and two of them are putting on makeup 
332	two people backlit with light sky 
333	a man eye the ground a he come in for a landing from parasailing 
334	a bug sits on a girl finger while she look shocked 
335	a snowboarder fly through the air on a red snowboard in front of a snowy landscape 
336	this picture show a blondhaired boy and brownhaired boy smiling while swinging on a tire swing 
337	a young man wearing a yellow shirt and baseball helemt swinging a bat
338	a soccer player try to kick the ball in the goal 
339	a brown dog possessively grab a purple frisbee in a field 
340	a tan dog jump across some water while another dog watch 
341	an american footballer in a white and purple strip is making a run with the ball 
342	a lone hiker trek through deep snow near rocky peak 
343	two male basketball player are fighting over a basketball 
344	a young girl with her face painted stand next to some other child 
345	the small white dog is coming out of a blue tunnel 
346	a dog with it mouth open is walking on a path on a garden which is next to a lake or a stream 
347	a woman wearing overall standing at an easel painting a picture 
348	hiker in blue shirt and red short stand on hill near mountain 
349	the man with the big drum is marching next to a boy with a small drum 
350	brown dog and two black dog have threeway tug on red object  outdoors 
351	two men walk together outdoors carrying red bag from a store 
352	dog nudge owner while out for a stoll in the grass 
353	a black dog cross a puddle of water with a ball in it mouth while a brown dog look the other way 
354	two people jump off the rock and into the greenish water below 
355	three dog racing madly around a racetrack 
356	a girl playing on a playground
357	a woman  in a blue and black wetsuit  is water boarding 
358	boy wearing swim trunk holding goggles and running
359	a black and white dog lie on the ground next to a little girl on a red bicycle in the wood 
360	a young male holding a fishing pole 
361	a terrier chasing a red ball 
362	santa and a woman drink wine next to the christmas tree while wearing joke disguise glass 
363	the collie dog is leaping through a red ring 
364	a rugby player in a black and yellow uniform run down the field while number six on the other team try to tackle him 
365	a dog is running onto the top of a blue slide 
366	basketball player huddle 
367	a person wearing a white hooded sweatshirt covered with a blanket sitting on a bench reading
368	two dog share a toy in a field of vegetation 
369	two blond haired woman wear matching clothing and love beer 
370	a boy is wearing a wetsuit on a crowded beach 
371	a woman climbing a barbed wire fence 
372	a boy wearing plaid short jumping over a big water fountain 
373	a bride being escorted under an umbrella to a large black car
374	a man and a child walk through the snow with two dog 
375	white dog high jumping over some pillow 
376	a woman sits with wearing a union jack novelty hat 
377	a bridge is talking to the groom and he scratch his head 
378	a woman playing tennis  swinging her racket 
379	a bride and groom are the center of this picture  with three bridesmaid in red dress to the left and groomsman to the right 
380	a large black dog is digging in the deep snow 
381	a white puppy is running on a tiled floor 
382	girl running next to a pool 
383	black and white dog running across grass 
384	a small girl with colorful barettes in her hair yawn 
385	two dog are looking at each other 
386	an american footballer in a red outfit is attacking the player in white who is running with the ball  whilst other player are nearby 
387	a man pull on his sweater a a kayak lay at his foot 
388	a person in a black backpack biking on a rocky path 
389	a little girl is sliding down a tunnel smiling 
390	a teenage boy is riding a skateboard on the stone handrail of a flight of outdoor step 
391	three child are standing with basket on numbered block 
392	dog race through grass by lone tree 
393	a little boy in a winnie the pooh tshirt is waiting to swing his red bat 
394	a girl in white pant and a blue tank top jump 
395	a person in a blue biking uniform is ridding a dirt bike on a grassy track 
396	a young child wearing a red tshirt ride a surfboard over a wave 
397	the collared dog is jumping into the air 
398	two men play a game beneath a shade 
399	three young boy playing badminton  with a fence in the background 
400	a rally car kick up dirt a it make a sharp turn 
401	a man toss a boy into the air at the beach 
402	the man is tossed from his boogie board by a large wave 
403	a man in a white shirt is dancing with a woman in black 
404	a girl in a lavender shirt look puzzled 
405	a little boy hold a bat in the air waiting on the ball 
406	a couple of dog are playing in the water 
407	people are skiing down a snow covered hill
408	a brown and white dog is carrying a snowball 
409	the black dog ha a toy in it mouth and a person stand nearby 
410	three dog on a grassy hill
411	two people sit on a park bench while watching a neighborhood tennis match 
412	a young child is being held by another child looking straight at u 
413	a race dog s foot dig in the mud a he make his way around a curve 
414	a man and a dog are standing on a tree that ha fallen over to the ground 
415	a person in a kilt and a sport jersey and a mohawk is in a store 
416	a dog with a red object in it mouth is hurrying down a smooth path near grass and another dog 
417	a brown dog wearing a blue harness jump over the grassy field 
418	shirtless men with leather vest are smiling 
419	the man in the black hat is sitting on the floor beside the green door 
420	an asian girl make a surprised face while wearing a shirt that say  radio 
421	a white dog with black spot run through a field covered in snow 
422	two brown dog are wrestling in a grassy field 
423	a girl wearing a bohemian hat and black jacket is walking trying to get something out of her blue purse 
424	a motorcyclist in yellow and white ride his bike 
425	a dancer posing for the camera in a red and white dress 
426	a young boy in a blue shirt pours sand from one container to another 
427	the man is pointing his finger down while two lady look on 
428	a boy walk through the lawn 
429	woman playing volleyball in the sand near the ocean 
430	several player playing a game of hockey outside on the road 
431	light colored dog running with a ball in it mouth 
432	a black dog swimming through a pool 
433	while one white dog is outside the pool  another white dog with a black spot on it back is jumping into a plastic swimming pool while getting sprayed by a garden hose 
434	a girl trying to hit a ball in the air with a tennis racket on the tennis court 
435	a black and white dog is playing with a ball on a lawn 
436	a boy and girl in swimwear and arm floater
437	a young girl in a pink dress is dancing 
438	many people standing around listening to music 
439	a big  brown dog is sleeping next to a small black and white cat 
440	the girl and boy are kissing whilst sitting on a wooden bench 
441	man sitting on bleacher wearing a white cowboy hat and playing a guitar
442	two dog playing in the grass 
443	a man in summer clothing skiing on thin snow 
444	a man wearing goggles snowboard on a half pipe 
445	white bird flying above water 
446	barefoot girl in a pink shirt tackle the football equipment on the field 
447	a young girl in jean is standing on a tree limb posing for the camera 
448	two people sit on a park bench looking at a fountain 
449	a large tan dog is rolling around on it back in a yard of grass 
450	a man is snowboarding over a large tire buried in the deep snow 
451	two child with adult in the background 
452	a girl in a pink jacket is walking through a large puddle 
453	a person in a black ninja costume playing a guitar 
454	several worker standing in a partially constructed building behind street sign
455	two little kid walk side by side while one eats something 
456	a man  sitting by his computer  playing guitar to his cat 
457	white bird with red eye get ready for a landing 
458	two brown dog play with one another in the field 
459	a brown dog with a tiny soccer ball in it mouth is standing on a blanket
460	girl in red outfit jumping out of tire swing
461	a man stand on a cliff overlooking a city 
462	the boy with the red soccer suit is falling down while the boy in the white shirt ha his eye on the ball 
463	the german shepherd dog is trying to catch a blue ball 
464	a man is hitting a tennis ball in a professional match 
465	a man and a woman sit at a desk  another man stand behind the first man 
466	skateboarder performing a trick high in the air on a ramp 
467	a woman on a horse 
468	a car is parked in a graffiti filled street 
469	two racing dog run in the mud 
470	a man stand with his arm up in the air  holding a stick  while a dog jump up 
471	a person in a blue jacket follows two donkey along a mountain trail 
472	a tennis player hit the ball and make a serious face 
473	a child  held by his mother  slide down a water slide 
474	a baseball hitter holding a bat falling down 
475	an overhead view of a racing motorcycle 
476	a mountain climber on a snowy plain near a mountaintop 
477	person riding bike on dirt track in wooded area
478	a man hold a stick while a stream of fire erupts from the end of it 
479	a white dog is jumping in natural water 
480	a group of people race with boat 
481	a black and white dog is running with a muzzle 
482	a large dog stand in the water 
483	woman in red kneel to help sitting bride put on her shoe 
484	an suv is parked in a grassy field with mountain in the background  and a woman is looking through a telescope off into the distance 
485	everybody is dressed a a zombie at this party 
486	three dog are running in a field 
487	a motorcycle racer is gesturing at somebody 
488	a woman in a striped sweater is standing on a hill 
489	a girl in a yellow shirt jumping over a hurdle 
490	a group of dog playing in a large pool 
491	two girl are making funny face and one ha food smeared on her face around her mouth 
492	an outdoor ice skating rink full of people 
493	two boy peer out the window of a rv while one hold a stuffed toy 
494	a child in a dragon costume on a bike 
495	three dog appear to be playing rough inside a fenced enclosure 
496	a girl messily eats a plate of pasta 
497	a man ride a bicycle while a young girl hold onto the back of him 
498	two men stand near the water with their fishing pole 
499	the skateboarder doe a trick on the railing while other people passing by watch 
500	two dog try to bite each other while laying in the snow 
501	a basketball player shooting while another player is trying to block his shot 
502	a man with a camera kneel in front of a giant hill of snow 
503	two young woman posing for a picture
504	a man wearing a suit scratch the back of his head at a meeting 
505	a large white dog and a smaller brown dog fight 
506	a man  with rainbow hair  and a woman are yelling out the window of a limo 
507	little girl throwing food in the air for her white dog to catch 
508	a man and a woman watch two dog 
509	the back of two men wearing backpack near some tent 
510	a little boy in a striped shirt is standing behind a tree 
511	two little boy playing flag football in purple jersey 
512	a man doing a skateboard trick over a railroad track 
513	a brown dog is running in a field 
514	a bald basketball player is standing on a court with the ball in his right hand 
515	a boy jump from a high rock cliff to the water below 
516	motorcycle rider crouch on bike  blurry background 
517	a dog run across the ground 
518	a boy wearing orange jump from haystack 
519	a group of people crossing rope that are suspended over water 
520	a crowd of people with one man taking a photo 
521	five little kid are on a ride called the frog hopper 
522	a rugby player attempt to break free of an opposing player with both team closing in 
523	two child are playing in a mud puddle 
524	a blue race car slide off of the track with it back tire 
525	a man riding his bike on a hill 
526	a photographer look over the hill 
527	a brown dog is trying to catch a flying disk but missed it 
528	a child in a red hat and scarf walking down a snow covered street 
529	a man is giving a little boy a piggy back on the floor 
530	the little girl in a pink shirt and jean is climbing up a rock climbing wall 
531	a white greyhound dog is wearing a red jacket with the number one printed on it 
532	a tan dog run through the snow 
533	a snowboarder jumping in the air with a person riding a ski lift in the background
534	a dog is standing in the fenced in field with a stick in his mouth 
535	a dog leap in the snow to catch a ball 
536	a worker wearing a hardhat is working inside a cave 
537	a boy in a white shirt is looking through the glass at a little creature 
538	the hiker with a black and orange backpack walk away into the wooded area 
539	girl pushing boat with a pole in the water
540	a young boy jump for joy in front of a rock formation 
541	a construction worker drill a hole into the ground 
542	a person in a safety vest pushing a truck 
543	group of horse rider travel through the wood 
544	a boy is jumping on an inflatable ring and a girl is watching him
545	a dog splashing through a puddle in the grass 
546	bird is taking off out of the water
547	there is a shirtless man leaning against a wall and a woman in a red shirt with her back to him 
548	a girl in a pink dress ride her bike along a white picket fence 
549	man in a wetsuit catching a wave on a surfboard 
550	a man dressed a batman running in a race 
551	this man is smiling very big at the camera 
552	a man upside down while jumping a bicycle 
553	a young oriential girl is standing above the crowd playing with a pinwheel
554	woman on the street window shop in front of the store  louis vuitton 
555	two dog play in grass 
556	a woman eating at a restaurant with other people 
557	a racing motorcycle and motorcyclist in red leaning into a turn 
558	a child in a blue shirt sitting on a forest floor  looking through binoculars 
559	a little boy ride a bike down a hill on a miniature dirt bike 
560	a girl in a red shirt and brown pant is skating 
561	a group of dog standing by a car
562	a small child is sitting playing with an adornment in a small garden 
563	a man in a black coat and hat and a child with a red snowsuit and pooh backpacker read advertisement near a mcdonalds 
564	the man is standing on the shore hitting a ball with a paddle 
565	couple sitting on chair by a stone wall overlooking the ocean 
566	two young woman are hugging each other and leaning on a stone wall at the beach 
567	a lone skier skiing down a snowy mountain on one ski 
568	a black dog and a white dog are outside playing with a pull toy 
569	a white dog jump above a red frisbee that is rolling along the surface of a low cut field 
570	a man in yellow is leaping toward men in blue 
571	a man is kayaking in rough water 
572	a man wearing a balloon hat hold up colored cutout drawing of two men 
573	a protester in a cowboy gear hold up a sign that say   dont tax me bro 
574	the little kid run to grab the blue frisbee that is flying through the air 
575	a mama bear and it cub are growling directly at one another 
576	a girl walk in the ocean 
577	the baby is sitting in a high chair 
578	dog swimming through water carrying stick in it mouth
579	a man with a hat taking a photo with his camera  while a passerby look annoyed 
580	three woman are looking into a camera 
581	young girl hanging on a vine 
582	the person is holding a picture in front of their face 
583	a man is squatting in brush to take a photograph 
584	two girl wearing colorful shirt and short standing in a lighted shower stall 
585	two soldier are running down a track 
586	friend sitting in the rock for photo 
587	a white dog jump at a woman holding another dog 
588	a small white dog walk through a yellow tube 
589	a young girl is walking up a steep grassy hill 
590	little girl do cartwheel in a large  empty room with folding chair to one side 
591	a brown dog run through a orange tunnel 
592	two child re laying on a rug with some wooden brick laid out in a square between them 
593	two female are standing next to each other and appear to be unexcited 
594	a boy wearing a white hat is running on the beach 
595	man in black jump over a rope a crowd look on 
596	four people sitting on low cement ledge 
597	woman onstage at amnesty international event exchange gesture with man offstage 
598	a little girl in a red sweater and blue skirt is in the hay 
599	a white greyhound dog wearing the number eight is running on a track 
600	a woman with orange shoe stop in a square 
601	the baby is wearing a red shirt and walking in a plaza 
602	a person with a brown hat and black jacket is in a wheelchair crossing in front of a sign that say  park  
603	a man is sitting on a blue bench with a blue blanket covering his face 
604	a girl is blindfolded by a young boy and girl 
605	a person kayaking down a small waterfall 
606	a brown dog walk towards another animal hiding in the grass 
607	a man putting a garter on a woman 
608	a guy on a bike in the forest 
609	this group of people are practicing water safety by wearing preserver while in a raft on the river
610	a guy on a log 
611	a group of people stand in a loose line on a brick ground 
612	small yacht in harbor  city in background 
613	three men are standing on top of a mountain 
614	a brown dog run on brown grass 
615	a man in blue is climbing up a rocky cliff with the help of secured cord 
616	boy in striped  hooded coat run down grassy hill 
617	a boy jump through the air onto something red 
618	a woman in the blue sweater is running through a brown field 
619	a blond dog with long hair carying a tennis ball 
620	a rugby player defends the ball against a member of the other team attempting to tackle him 
621	a man and a guard laugh together 
622	a woman using a large camera while standing in the street 
623	a black and white dog is splashing around in the water 
624	three people stand  ready to ski  next to a no skiing sign 
625	a young child running along the shore at a beach
626	four child are playing in a water fountain 
627	three white dog are near a black llama 
628	the hockey player is skating on the ice smacking the puck 
629	a snowboarder jump off a large ramp in the mountain 
630	a man is holding three thing on fire in front of a child s playground 
631	two dog wrestling on a green lawn 
632	a group of bike rider with helmet riding on a street 
633	a man in a white shirt and blue short and a man in a red shirt and white short playing soccer 
634	two oriental lizard are fighting for dominance in a small pond
635	a wakeboarder 
636	a business man and a security guard are smiling and talking outside a glass building 
637	a man in racing gear turn a corner on his green motorcycle 
638	a group of motocross racer lined up to start 
639	the men are using hoe to break the soil 
640	the child in the scene are in a petting zoo and are acting like a duck or chicken 
641	girl jumping rope in parking lot
642	brown and white dog run towards camera  casting long shadow on dirt 
643	a man run with the football at a professional or collegiate game 
644	a young girl in a blue dress applies makeup in a mirror 
645	a small boy is carrying a soccer ball 
646	a quarterback ready to pas the football in the middle of a play 
647	cyclist biking down a steep path 
648	the man in red ha the football  and the team in white is nearby 
649	a girl running with outstretched arm
650	two men wearing wrestling gear with their head pressed together 
651	a black dog swimming 
652	two kid sit in the middle of a playground toy that spin around them 
653	a black and white dog run through grass 
654	a group of men and woman are facing in the direction of something that is happening off camera 
655	four boy on a black top with a green and yellow basketball 
656	man kayaking through rough water 
657	a man riding a bicycle down a mountainside 
